matrix,codec,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2,joint_value_codec,status
3elt_dual.mtx,bfp8,26556,0.0056,0.005504,0.982857,2,-1,0,bfp8_blocks+bf16_residual,ok
3elt_dual.mtx,auto,26556,0.00384,0.003808,0.991667,1.0003,-1,0,dict_u8_lossless,ok
cage_G_01.mtx,bfp8,30,0.00384,0.003872,1.00833,1.73333,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_01.mtx,auto,30,0.005568,0.005184,0.931034,1.26667,-1,0,dict_u8_lossless,ok
cage_G_09.mtx,bfp8,174,0.00384,0.00384,1,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_09.mtx,auto,174,0.003808,0.003808,1,1.04598,-1,0,dict_u8_lossless,ok
cage_G_17.mtx,bfp8,174,0.003808,0.003904,1.02521,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_17.mtx,auto,174,0.003808,0.003808,1,1.04598,-1,0,dict_u8_lossless,ok
cage_G_25.mtx,bfp8,210,0.003808,0.003808,1,1.9619,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_25.mtx,auto,210,0.005504,0.004448,0.80814,1.0381,-1,0,dict_u8_lossless,ok
cage_G_33.mtx,bfp8,304,0.004864,0.004928,1.01316,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_33.mtx,auto,304,0.003808,0.003808,1,1.02632,-1,0,dict_u8_lossless,ok
cage_G_41.mtx,bfp8,1062,0.00384,0.003872,1.00833,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_41.mtx,auto,1062,0.005312,0.004768,0.89759,1.00753,-1,0,dict_u8_lossless,ok
grid1.mtx,bfp8,952,0.003808,0.003808,1,1.98214,-1,0,bfp8_blocks+bf16_residual,ok
grid1.mtx,auto,952,0.00528,0.004864,0.921212,1.0084,-1,0,dict_u8_lossless,ok
se_G_02.mtx,bfp8,42,0.00384,0.00384,1,2,-1,0,bfp8_blocks+bf16_residual,ok
se_G_02.mtx,auto,42,0.003968,0.00384,0.967742,1.19048,-1,0,dict_u8_lossless,ok
se_G_10.mtx,bfp8,12282,0.003808,0.003936,1.03361,2,-1,0,bfp8_blocks+bf16_residual,ok
se_G_10.mtx,auto,12282,0.00528,0.005248,0.993939,1.00065,-1,0,dict_u8_lossless,ok
whitaker3.mtx,bfp8,57978,0.005888,0.005408,0.918478,1.87342,-1,0,bfp8_blocks+bf16_residual,ok
whitaker3.mtx,auto,57978,0.007424,0.005088,0.685345,1.00014,-1,0,dict_u8_lossless,ok
celegans_metabolic.mtx,bfp8,4065,0.008704,0.010336,1.1875,1.94834,-1,0,bfp8_blocks+bf16_residual,ok
celegans_metabolic.mtx,auto,4065,0.012256,0.008352,0.681462,1.05117,-1,0,dict_u8_lossless,ok
bfwb398.mtx,bfp8,2910,0.006112,0.005152,0.842932,1.75876,-1,0,bfp8_blocks+bf16_residual,ok
bfwb398.mtx,auto,2910,0.004448,0.004768,1.07194,1.06323,-1,0,dict_u8_lossless,ok
cdde4.mtx,bfp8,4681,0.00624,0.005248,0.841026,1.58449,-1,0,bfp8_blocks+bf16_residual,ok
cdde4.mtx,auto,4681,0.004096,0.003808,0.929688,1.00855,-1,0,dict_u8_lossless,ok
dw1024.mtx,bfp8,10114,0.00384,0.00384,1,1.54439,-1,0,bfp8_blocks+bf16_residual,ok
dw1024.mtx,auto,10114,0.004544,0.003808,0.838028,1.54439,-1,0,bfp8_blocks+bf16_residual,ok
lop163.mtx,bfp8,935,0.00384,0.003808,0.991667,1.68663,-1,0,bfp8_blocks+bf16_residual,ok
lop163.mtx,auto,935,0.004256,0.004256,1,1.25668,-1,0,dict_u8_lossless,ok
odepb400.mtx,bfp8,399,0.005504,0.005632,1.02326,2,-1,0,bfp8_blocks+bf16_residual,ok
odepb400.mtx,auto,399,0.0048,0.005504,1.14667,3.68672,-1,0,dict_u8_lossless,ok
