matrix,codec,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2,joint_value_codec,status
biplane-9.mtx,bfp8,84076,0.004768,0.004736,0.993289,2,-1,0,bfp8_blocks+bf16_residual,ok
biplane-9.mtx,auto,84076,0.003808,0.003872,1.01681,1.0001,-1,0,dict_u8_lossless,ok
cage_G_07.mtx,bfp8,174,0.003808,0.00384,1.0084,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_07.mtx,auto,174,0.0048,0.004544,0.946667,1.04598,-1,0,dict_u8_lossless,ok
cage_G_15.mtx,bfp8,174,0.004256,0.004576,1.07519,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_15.mtx,auto,174,0.00384,0.00384,1,1.04598,-1,0,dict_u8_lossless,ok
cage_G_23.mtx,bfp8,210,0.00384,0.00384,1,1.9619,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_23.mtx,auto,210,0.003136,0.003936,1.2551,1.0381,-1,0,dict_u8_lossless,ok
cage_G_31.mtx,bfp8,76,0.003808,0.00384,1.0084,1.78947,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_31.mtx,auto,76,0.003808,0.00384,1.0084,1.10526,-1,0,dict_u8_lossless,ok
cage_G_39.mtx,bfp8,752,0.00384,0.003872,1.00833,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_39.mtx,auto,752,0.003808,0.003808,1,1.01064,-1,0,dict_u8_lossless,ok
crack_dual.mtx,bfp8,60086,0.00384,0.00384,1,2,-1,0,bfp8_blocks+bf16_residual,ok
crack_dual.mtx,auto,60086,0.005344,0.00528,0.988024,1.00013,-1,0,dict_u8_lossless,ok
se.mtx,bfp8,98300,0.00384,0.003808,0.991667,2,-1,0,bfp8_blocks+bf16_residual,ok
se.mtx,auto,98300,0.005056,0.00384,0.759494,1.00008,-1,0,dict_u8_lossless,ok
se_G_08.mtx,bfp8,3066,0.004704,0.00416,0.884354,2,-1,0,bfp8_blocks+bf16_residual,ok
