matrix,codec,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2,joint_value_codec,status
3elt.mtx,bfp8,27444,0.004896,0.00464,0.947712,1.99902,-1,0,bfp8_blocks+bf16_residual,ok
3elt.mtx,auto,27444,0.003904,0.00384,0.983607,1.00029,-1,0,dict_u8_lossless,ok
cage.mtx,bfp8,5124,0.003872,0.003904,1.00826,1.99844,-1,0,bfp8_blocks+bf16_residual,ok
cage.mtx,auto,5124,0.004224,0.006336,1.5,1.00156,-1,0,dict_u8_lossless,ok
cage_G_08.mtx,bfp8,174,0.003808,0.003808,1,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_08.mtx,auto,174,0.00384,0.003808,0.991667,1.04598,-1,0,dict_u8_lossless,ok
cage_G_16.mtx,bfp8,174,0.00384,0.003808,0.991667,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_16.mtx,auto,174,0.00384,0.00384,1,1.04598,-1,0,dict_u8_lossless,ok
cage_G_24.mtx,bfp8,210,0.003808,0.00384,1.0084,1.9619,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_24.mtx,auto,210,0.003808,0.003808,1,1.0381,-1,0,dict_u8_lossless,ok
cage_G_32.mtx,bfp8,104,0.00544,0.00448,0.823529,1.84615,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_32.mtx,auto,104,0.004,0.00448,1.12,1.07692,-1,0,dict_u8_lossless,ok
cage_G_40.mtx,bfp8,912,0.003904,0.00384,0.983607,1.99123,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_40.mtx,auto,912,0.00384,0.003808,0.991667,1.00877,-1,0,dict_u8_lossless,ok
diag.mtx,bfp8,8184,0.005376,0.003968,0.738095,1.94721,-1,0,bfp8_blocks+bf16_residual,ok
diag.mtx,auto,8184,0.00384,0.00384,1,1.00098,-1,0,dict_u8_lossless,ok
se_G_01.mtx,bfp8,20,0.003936,0.003936,1,1.2,-1,0,bfp8_blocks+bf16_residual,ok
se_G_01.mtx,auto,20,0.00384,0.003808,0.991667,1.4,-1,0,dict_u8_lossless,ok
se_G_09.mtx,bfp8,6140,0.005088,0.004736,0.930818,2,-1,0,bfp8_blocks+bf16_residual,ok
se_G_09.mtx,auto,6140,0.004896,0.004448,0.908497,1.0013,-1,0,dict_u8_lossless,ok
ukerbe1_dual.mtx,bfp8,7076,0.005856,0.004416,0.754098,1.9658,-1,0,bfp8_blocks+bf16_residual,ok
ukerbe1_dual.mtx,auto,7076,0.005856,0.00496,0.846995,1.00113,-1,0,dict_u8_lossless,ok
PGPgiantcompo.mtx,bfp8,48632,0.008192,0.0072,0.878906,2,-1,0,bfp8_blocks+bf16_residual,ok
PGPgiantcompo.mtx,auto,48632,0.0104,0.007936,0.763077,1.00033,-1,0,dict_u8_lossless,ok
bfwa782.mtx,bfp8,7514,0.004416,0.004416,1,1.78001,-1,0,bfp8_blocks+bf16_residual,ok
bfwa782.mtx,auto,7514,0.004672,0.004416,0.945205,1.25552,-1,0,dict_u8_lossless,ok
cdde3.mtx,bfp8,4681,0.003872,0.00384,0.991736,1.58449,-1,0,bfp8_blocks+bf16_residual,ok
cdde3.mtx,auto,4681,0.004128,0.003808,0.922481,1.00855,-1,0,dict_u8_lossless,ok
cryg2500.mtx,bfp8,12349,0.003872,0.003904,1.00826,1.56474,-1,0,bfp8_blocks+bf16_residual,ok
cryg2500.mtx,auto,12349,0.003808,0.003808,1,1.56474,-1,0,bfp8_blocks+bf16_residual,ok
dwb512.mtx,bfp8,2500,0.003808,0.003872,1.01681,1.5392,-1,0,bfp8_blocks+bf16_residual,ok
dwb512.mtx,auto,2500,0.006848,0.006048,0.883178,1.528,-1,0,dict_u8_lossless,ok
odepa400.mtx,bfp8,1201,0.003904,0.003808,0.97541,1.24979,-1,0,bfp8_blocks+bf16_residual,ok
odepa400.mtx,auto,1201,0.003968,0.003872,0.975806,1.04663,-1,0,dict_u8_lossless,ok
pde2961.mtx,bfp8,14585,0.00384,0.003808,0.991667,1.57347,-1,0,bfp8_blocks+bf16_residual,ok
pde2961.mtx,auto,14585,0.00656,0.00416,0.634146,1.57347,-1,0,bfp8_blocks+bf16_residual,ok
rdb1250l.mtx,bfp8,7300,0.003904,0.004192,1.07377,1.49699,-1,0,bfp8_blocks+bf16_residual,ok
rdb1250l.mtx,auto,7300,0.003968,0.00384,0.967742,1.00658,-1,0,dict_u8_lossless,ok
rdb5000.mtx,bfp8,29600,0.006656,0.006816,1.02404,1.49662,-1,0,bfp8_blocks+bf16_residual,ok
rdb5000.mtx,auto,29600,0.004,0.003808,0.952,1.00162,-1,0,dict_u8_lossless,ok
tols340.mtx,bfp8,2196,0.006176,0.006272,1.01554,1.34244,-1,0,bfp8_blocks+bf16_residual,ok
tols340.mtx,auto,2196,0.006144,0.00624,1.01562,1.34244,-1,0,bfp8_blocks+bf16_residual,ok
bcsstk34.mtx,bfp8,21418,0.00944,0.009632,1.02034,1.25362,-1,0,bfp8_blocks+bf16_residual,ok
bcsstk34.mtx,auto,21418,0.008704,0.009344,1.07353,1.25362,-1,0,bfp8_blocks+bf16_residual,ok
crystm01.mtx,bfp8,105339,0.006272,0.006208,0.989796,1.80801,-1,0,bfp8_blocks+bf16_residual,ok
crystm01.mtx,auto,105339,0.005856,0.00592,1.01093,1.80801,-1,0,bfp8_blocks+bf16_residual,ok
circuit_1.mtx,bfp8,35823,0.011488,0.011072,0.963788,1.72216,-1,0,bfp8_blocks+bf16_residual,ok
circuit_1.mtx,auto,35823,0.011488,0.009536,0.830084,1.72216,-1,0,bfp8_blocks+bf16_residual,ok
cz1268.mtx,bfp8,12786,0.005888,0.004736,0.804348,1.66041,-1,0,bfp8_blocks+bf16_residual,ok
cz1268.mtx,auto,12786,0.004832,0.004672,0.966887,1.66041,-1,0,bfp8_blocks+bf16_residual,ok
m3plates.mtx,bfp8,6639,0.004096,0.004672,1.14062,2,-1,0,bfp8_blocks+bf16_residual,ok
m3plates.mtx,auto,6639,0.00432,0.003904,0.903704,2,-1,0,bfp8_blocks+bf16_residual,ok
asia_osm.mtx,bfp8,25423206,0.503936,0.546848,1.08515,1.99972,-1,0,bfp8_blocks+bf16_residual,ok
asia_osm.mtx,auto,25423206,0.580256,0.545248,0.939668,1,-1,0,dict_u8_lossless,ok
delaunay_n13.mtx,bfp8,49094,0.005728,0.005088,0.888268,1.86395,-1,0,bfp8_blocks+bf16_residual,ok
delaunay_n13.mtx,auto,49094,0.006464,0.005568,0.861386,1.00016,-1,0,dict_u8_lossless,ok
hugebubbles-00000.mtx,bfp8,54940162,0.89296,1.02979,1.15323,2,-1,0,bfp8_blocks+bf16_residual,ok
hugebubbles-00000.mtx,auto,54940162,0.984832,1.03082,1.04669,1,-1,0,dict_u8_lossless,ok
