matrix,codec,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2,joint_value_codec,status
airfoil1_dual.mtx,bfp8,23626,0.004448,0.006048,1.35971,2,-1,0,bfp8_blocks+bf16_residual,ok
airfoil1_dual.mtx,auto,23626,0.00384,0.003808,0.991667,1.00034,-1,0,dict_u8_lossless,ok
cage_G_05.mtx,bfp8,174,0.005056,0.005088,1.00633,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_05.mtx,auto,174,0.005696,0.005376,0.94382,1.04598,-1,0,dict_u8_lossless,ok
cage_G_13.mtx,bfp8,174,0.003936,0.00384,0.97561,1.95402,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_13.mtx,auto,174,0.00384,0.003904,1.01667,1.04598,-1,0,dict_u8_lossless,ok
cage_G_21.mtx,bfp8,174,0.00384,0.003808,0.991667,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_21.mtx,auto,174,0.003808,0.00384,1.0084,1.04598,-1,0,dict_u8_lossless,ok
cage_G_29.mtx,bfp8,1218,0.003808,0.00384,1.0084,1.99343,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_29.mtx,auto,1218,0.00384,0.003808,0.991667,1.00657,-1,0,dict_u8_lossless,ok
cage_G_37.mtx,bfp8,372,0.00384,0.003872,1.00833,1.97849,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_37.mtx,auto,372,0.0064,0.004768,0.745,1.02151,-1,0,dict_u8_lossless,ok
cage_G_45.mtx,bfp8,5124,0.003808,0.003936,1.03361,1.99844,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_45.mtx,auto,5124,0.004128,0.003904,0.945736,1.00156,-1,0,dict_u8_lossless,ok
netz4504.mtx,bfp8,5156,0.005632,0.00544,0.965909,1.99825,-1,0,bfp8_blocks+bf16_residual,ok
netz4504.mtx,auto,5156,0.004096,0.004672,1.14062,1.00155,-1,0,dict_u8_lossless,ok
se_G_06.mtx,bfp8,762,0.005696,0.00512,0.898876,2,-1,0,bfp8_blocks+bf16_residual,ok
se_G_06.mtx,auto,762,0.003968,0.00384,0.967742,1.0105,-1,0,dict_u8_lossless,ok
stufe-10.mtx,bfp8,92828,0.005216,0.003872,0.742331,2,-1,0,bfp8_blocks+bf16_residual,ok
stufe-10.mtx,auto,92828,0.004576,0.003872,0.846154,1.00009,-1,0,dict_u8_lossless,ok
fxm3_6.mtx,bfp8,94026,0.00912,0.010048,1.10175,1.46127,-1,0,bfp8_blocks+bf16_residual,ok
fxm3_6.mtx,auto,94026,0.008832,0.00816,0.923913,1.00009,-1,0,dict_u8_lossless,ok
epb1.mtx,bfp8,95053,0.003872,0.003968,1.02479,1.53779,-1,0,bfp8_blocks+bf16_residual,ok
epb1.mtx,auto,95053,0.003904,0.003936,1.0082,1.53779,-1,0,bfp8_blocks+bf16_residual,ok
bwm2000.mtx,bfp8,7996,0.003808,0.003936,1.03361,1.43722,-1,0,bfp8_blocks+bf16_residual,ok
bwm2000.mtx,auto,7996,0.003936,0.00384,0.97561,1.006,-1,0,dict_u8_lossless,ok
