matrix,codec,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2,joint_value_codec,status
airfoil1.mtx,bfp8,24578,0.006048,0.006176,1.02116,1.99967,-1,0,bfp8_blocks+bf16_residual,ok
airfoil1.mtx,auto,24578,0.005216,0.005344,1.02454,1.00033,-1,0,dict_u8_lossless,ok
cage_G_04.mtx,bfp8,90,0.004576,0.004416,0.965035,1.91111,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_04.mtx,auto,90,0.004768,0.004928,1.03356,1.08889,-1,0,dict_u8_lossless,ok
cage_G_12.mtx,bfp8,174,0.003936,0.003808,0.96748,1.95402,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_12.mtx,auto,174,0.003968,0.003808,0.959677,1.04598,-1,0,dict_u8_lossless,ok
cage_G_20.mtx,bfp8,174,0.00384,0.00384,1,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_20.mtx,auto,174,0.004608,0.00432,0.9375,1.04598,-1,0,dict_u8_lossless,ok
cage_G_28.mtx,bfp8,816,0.003872,0.003872,1,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_28.mtx,auto,816,0.003808,0.00384,1.0084,1.0098,-1,0,dict_u8_lossless,ok
cage_G_36.mtx,bfp8,210,0.005632,0.00544,0.965909,1.79048,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_36.mtx,auto,210,0.003808,0.003808,1,1.0381,-1,0,dict_u8_lossless,ok
cage_G_44.mtx,bfp8,3192,0.005632,0.00464,0.823864,1.99749,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_44.mtx,auto,3192,0.00528,0.00384,0.727273,1.00251,-1,0,dict_u8_lossless,ok
grid2_dual.mtx,bfp8,12224,0.00432,0.00384,0.888889,2,-1,0,bfp8_blocks+bf16_residual,ok
grid2_dual.mtx,auto,12224,0.005696,0.00512,0.898876,1.00065,-1,0,dict_u8_lossless,ok
se_G_05.mtx,bfp8,380,0.00384,0.003808,0.991667,2,-1,0,bfp8_blocks+bf16_residual,ok
se_G_05.mtx,auto,380,0.00384,0.00384,1,1.02105,-1,0,dict_u8_lossless,ok
se_G_13.mtx,bfp8,98300,0.005728,0.004832,0.843575,2,-1,0,bfp8_blocks+bf16_residual,ok
se_G_13.mtx,auto,98300,0.00864,0.003872,0.448148,1.00008,-1,0,dict_u8_lossless,ok
ex3sta1.mtx,bfp8,678998,0.016832,0.016704,0.992395,1.93792,-1,0,bfp8_blocks+bf16_residual,ok
ex3sta1.mtx,auto,678998,0.020288,0.01664,0.820189,1.00001,-1,0,dict_u8_lossless,ok
