matrix,codec,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2,joint_value_codec,status
cage_G_01.mtx,bfp8,30,0.00384,0.003872,1.00833,1.73333,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
cage_G_01.mtx,bfp8_outlier,30,0.004512,0.004352,0.964539,1.73333,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
cage_G_01.mtx,auto,30,0.004192,0.005184,1.23664,1.26667,0,1,dict_u8_lossless,ok
fxm3_6.mtx,bfp8,94026,0.007936,0.007968,1.00403,1.46127,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
fxm3_6.mtx,bfp8_outlier,94026,0.009568,0.008032,0.839465,1.46127,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
fxm3_6.mtx,auto,94026,0.009984,0.007904,0.791667,1.00009,0,1,dict_u8_lossless,ok
abb313.mtx,bfp8,1557,0.00384,0.00384,1,1.49711,5.38545e-05,1,bfp8_blocks+bf16_residual,ok
abb313.mtx,bfp8_outlier,1557,0.005632,0.00432,0.767045,1.49711,5.38545e-05,1,bfp8_outlier_blocks+bf16_residual,ok
abb313.mtx,auto,1557,0.003936,0.004608,1.17073,1.00514,0,1,dict_u8_lossless,ok
can_144.mtx,bfp8,1296,0.004,0.003968,0.992,1.30093,5.99254e-05,1,bfp8_blocks+bf16_residual,ok
can_144.mtx,bfp8_outlier,1296,0.006816,0.005792,0.849765,1.30093,5.99254e-05,1,bfp8_outlier_blocks+bf16_residual,ok
can_144.mtx,auto,1296,0.004384,0.003968,0.90511,1.00617,0,1,dict_u8_lossless,ok
can_445.mtx,bfp8,3809,0.006944,0.004384,0.631336,1.3875,5.88553e-05,1,bfp8_blocks+bf16_residual,ok
can_445.mtx,bfp8_outlier,3809,0.004128,0.004256,1.03101,1.3875,5.88553e-05,1,bfp8_outlier_blocks+bf16_residual,ok
can_445.mtx,auto,3809,0.0048,0.005952,1.24,1.0021,0,1,dict_u8_lossless,ok
cegb3024.mtx,bfp8,79848,0.005856,0.005888,1.00546,1.36925,4.40021e-05,1,bfp8_blocks+bf16_residual,ok
cegb3024.mtx,bfp8_outlier,79848,0.007264,0.00704,0.969163,1.36925,4.40021e-05,1,bfp8_outlier_blocks+bf16_residual,ok
cegb3024.mtx,auto,79848,0.008608,0.006144,0.713755,1.0001,0,1,dict_u8_lossless,ok
dwt_198.mtx,bfp8,1392,0.0064,0.005344,0.835,1.63793,4.86021e-05,1,bfp8_blocks+bf16_residual,ok
dwt_198.mtx,bfp8_outlier,1392,0.003904,0.003968,1.01639,1.63793,4.86021e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_198.mtx,auto,1392,0.00688,0.005984,0.869767,1.00575,0,1,dict_u8_lossless,ok
dwt_361.mtx,bfp8,2953,0.006592,0.005344,0.81068,1.53336,5.65692e-05,1,bfp8_blocks+bf16_residual,ok
dwt_361.mtx,bfp8_outlier,2953,0.004512,0.005856,1.29787,1.53336,5.65692e-05,1,bfp8_outlier_blocks+bf16_residual,ok
