matrix,codec,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2,joint_value_codec,status
cage_G_02.mtx,bfp8,42,0.003808,0.004,1.05042,1.80952,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
cage_G_02.mtx,bfp8_outlier,42,0.0056,0.00496,0.885714,1.80952,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
cage_G_02.mtx,auto,42,0.005088,0.004608,0.90566,1.19048,0,1,dict_u8_lossless,ok
net25.mtx,bfp8,401200,0.00848,0.008544,1.00755,1.72339,7.47369e-06,1,bfp8_blocks+bf16_residual,ok
net25.mtx,bfp8_outlier,401200,0.009024,0.011488,1.27305,1.72339,7.47369e-06,1,bfp8_outlier_blocks+bf16_residual,ok
net25.mtx,auto,401200,0.011296,0.008416,0.745042,1.00002,0,1,dict_u8_lossless,ok
ash292.mtx,bfp8,2208,0.003936,0.004032,1.02439,1.59692,4.64398e-05,1,bfp8_blocks+bf16_residual,ok
ash292.mtx,bfp8_outlier,2208,0.004,0.004128,1.032,1.59692,4.64398e-05,1,bfp8_outlier_blocks+bf16_residual,ok
ash292.mtx,auto,2208,0.004448,0.004096,0.920863,1.00362,0,1,dict_u8_lossless,ok
can_161.mtx,bfp8,1377,0.004064,0.004064,1,1.26797,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
can_161.mtx,bfp8_outlier,1377,0.004096,0.004128,1.00781,1.26797,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
can_161.mtx,auto,1377,0.004224,0.003904,0.924242,1.00581,0,1,dict_u8_lossless,ok
can_61.mtx,bfp8,557,0.006304,0.004032,0.639594,1.60682,8.06536e-05,1,bfp8_blocks+bf16_residual,ok
can_61.mtx,bfp8_outlier,557,0.003936,0.004192,1.06504,1.60682,8.06536e-05,1,bfp8_outlier_blocks+bf16_residual,ok
can_61.mtx,auto,557,0.004352,0.006176,1.41912,1.01436,0,1,dict_u8_lossless,ok
cegb3306.mtx,bfp8,74916,0.00624,0.005856,0.938462,1.23394,4.69971e-05,1,bfp8_blocks+bf16_residual,ok
cegb3306.mtx,bfp8_outlier,74916,0.006304,0.00624,0.989848,1.23394,4.69971e-05,1,bfp8_outlier_blocks+bf16_residual,ok
