matrix,codec,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2,joint_value_codec,status
cage_G_31.mtx,bfp8,76,0.006144,0.004864,0.791667,1.78947,4.99379e-05,1,bfp8_blocks+bf16_residual,ok
cage_G_31.mtx,bfp8_outlier,76,0.0056,0.005312,0.948571,1.78947,4.99379e-05,1,bfp8_outlier_blocks+bf16_residual,ok
cage_G_31.mtx,auto,76,0.005312,0.005312,1,1.10526,0,1,dict_u8_lossless,ok
nasa2910.mtx,bfp8,174296,0.010784,0.009984,0.925816,1.21901,6.21796e-05,1,bfp8_blocks+bf16_residual,ok
nasa2910.mtx,bfp8_outlier,174296,0.01264,0.01008,0.797468,1.21901,6.21796e-05,1,bfp8_outlier_blocks+bf16_residual,ok
nasa2910.mtx,auto,174296,0.0136,0.012576,0.924706,1.00005,0,1,dict_u8_lossless,ok
ash331.mtx,bfp8,662,0.005568,0.004416,0.793103,1.75076,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
ash331.mtx,bfp8_outlier,662,0.003872,0.003808,0.983471,1.75076,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
ash331.mtx,auto,662,0.003808,0.004064,1.06723,1.01208,0,1,dict_u8_lossless,ok
can_187.mtx,bfp8,1491,0.004096,0.003936,0.960938,1.29577,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
can_187.mtx,bfp8_outlier,1491,0.004064,0.004192,1.0315,1.29577,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
can_187.mtx,auto,1491,0.004288,0.003936,0.91791,1.00537,0,1,dict_u8_lossless,ok
can_634.mtx,bfp8,7228,0.00448,0.004736,1.05714,1.59809,4.25397e-05,1,bfp8_blocks+bf16_residual,ok
can_634.mtx,bfp8_outlier,7228,0.004416,0.004704,1.06522,1.59809,4.25397e-05,1,bfp8_outlier_blocks+bf16_residual,ok
can_634.mtx,auto,7228,0.007552,0.006624,0.877119,1.00111,0,1,dict_u8_lossless,ok
curtis54.mtx,bfp8,291,0.006464,0.00656,1.01485,1.40893,6.3004e-05,1,bfp8_blocks+bf16_residual,ok
curtis54.mtx,bfp8_outlier,291,0.003936,0.0056,1.42276,1.40893,6.3004e-05,1,bfp8_outlier_blocks+bf16_residual,ok
curtis54.mtx,auto,291,0.00416,0.00384,0.923077,1.02749,0,1,dict_u8_lossless,ok
dwt_221.mtx,bfp8,1629,0.00384,0.003872,1.00833,1.58134,4.98246e-05,1,bfp8_blocks+bf16_residual,ok
dwt_221.mtx,bfp8_outlier,1629,0.00384,0.003936,1.025,1.58134,4.98246e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_221.mtx,auto,1629,0.004256,0.003776,0.887218,1.00491,0,1,dict_u8_lossless,ok
dwt_503.mtx,bfp8,6027,0.006272,0.006496,1.03571,1.58404,5.03383e-05,1,bfp8_blocks+bf16_residual,ok
dwt_503.mtx,bfp8_outlier,6027,0.007168,0.006912,0.964286,1.58404,5.03383e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_503.mtx,auto,6027,0.00784,0.007968,1.01633,1.00133,0,1,dict_u8_lossless,ok
dwt_869.mtx,bfp8,7285,0.006112,0.00624,1.02094,1.50817,3.87338e-05,1,bfp8_blocks+bf16_residual,ok
dwt_869.mtx,bfp8_outlier,7285,0.006624,0.006368,0.961353,1.50817,3.87338e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_869.mtx,auto,7285,0.007648,0.004672,0.610879,1.0011,0,1,dict_u8_lossless,ok
jagmesh2.mtx,bfp8,6865,0.003872,0.003872,1,1.59971,4.68409e-05,1,bfp8_blocks+bf16_residual,ok
jagmesh2.mtx,bfp8_outlier,6865,0.003904,0.004864,1.2459,1.59971,4.68409e-05,1,bfp8_outlier_blocks+bf16_residual,ok
jagmesh2.mtx,auto,6865,0.004384,0.003904,0.890511,1.00117,0,1,dict_u8_lossless,ok
jgl009.mtx,bfp8,50,0.003872,0.004,1.03306,1.34,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
jgl009.mtx,bfp8_outlier,50,0.003808,0.003808,1,1.34,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
jgl009.mtx,auto,50,0.003808,0.003936,1.03361,1.16,0,1,dict_u8_lossless,ok
