matrix,codec,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2,joint_value_codec,status
se_G_02.mtx,bfp8,42,0.00384,0.003808,0.991667,2,0,1,bfp8_blocks+bf16_residual,ok
se_G_02.mtx,bfp8_outlier,42,0.005504,0.004736,0.860465,2,0,1,bfp8_outlier_blocks+bf16_residual,ok
se_G_02.mtx,auto,42,0.00384,0.003808,0.991667,1.19048,0,1,dict_u8_lossless,ok
data.mtx,bfp8,30186,0.007168,0.00624,0.870536,1.47416,5.47751e-05,1,bfp8_blocks+bf16_residual,ok
data.mtx,bfp8_outlier,30186,0.00448,0.005696,1.27143,1.47416,5.47751e-05,1,bfp8_outlier_blocks+bf16_residual,ok
data.mtx,auto,30186,0.005632,0.0048,0.852273,1.00027,0,1,dict_u8_lossless,ok
ash958.mtx,bfp8,1916,0.003936,0.003872,0.98374,1.82098,5.72205e-05,1,bfp8_blocks+bf16_residual,ok
ash958.mtx,bfp8_outlier,1916,0.003808,0.003776,0.991597,1.82098,5.72205e-05,1,bfp8_outlier_blocks+bf16_residual,ok
ash958.mtx,auto,1916,0.005024,0.00512,1.01911,1.00418,0,1,dict_u8_lossless,ok
can_256.mtx,bfp8,2916,0.005888,0.006176,1.04891,1.76132,4.57764e-05,1,bfp8_blocks+bf16_residual,ok
can_256.mtx,bfp8_outlier,2916,0.00832,0.007744,0.930769,1.76132,4.57764e-05,1,bfp8_outlier_blocks+bf16_residual,ok
can_256.mtx,auto,2916,0.008928,0.007136,0.799283,1.00274,0,1,dict_u8_lossless,ok
can_96.mtx,bfp8,768,0.004096,0.005088,1.24219,1.25,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
can_96.mtx,bfp8_outlier,768,0.004192,0.006048,1.44275,1.25,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
can_96.mtx,auto,768,0.0064,0.00384,0.6,1.01042,0,1,dict_u8_lossless,ok
dwt_1242.mtx,bfp8,10426,0.006176,0.006336,1.02591,1.47813,5.49316e-05,1,bfp8_blocks+bf16_residual,ok
dwt_1242.mtx,bfp8_outlier,10426,0.004416,0.00432,0.978261,1.47813,5.49316e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_1242.mtx,auto,10426,0.00448,0.004352,0.971429,1.00077,0,1,dict_u8_lossless,ok
dwt_307.mtx,bfp8,2523,0.00432,0.004128,0.955556,1.43203,5.35615e-05,1,bfp8_blocks+bf16_residual,ok
dwt_307.mtx,bfp8_outlier,2523,0.004128,0.004224,1.02326,1.43203,5.35615e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_307.mtx,auto,2523,0.00448,0.00416,0.928571,1.00317,0,1,dict_u8_lossless,ok
dwt_592.mtx,bfp8,5104,0.006496,0.00432,0.665025,1.49863,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
dwt_592.mtx,bfp8_outlier,5104,0.005824,0.00624,1.07143,1.49863,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_592.mtx,auto,5104,0.006496,0.00608,0.935961,1.00157,0,1,dict_u8_lossless,ok
dwt_918.mtx,bfp8,7384,0.00416,0.004384,1.05385,1.60414,4.13464e-05,1,bfp8_blocks+bf16_residual,ok
dwt_918.mtx,bfp8_outlier,7384,0.005888,0.005248,0.891304,1.60414,4.13464e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_918.mtx,auto,7384,0.004736,0.005536,1.16892,1.00108,0,1,dict_u8_lossless,ok
jagmesh5.mtx,bfp8,7750,0.003776,0.004,1.05932,1.59265,4.20464e-05,1,bfp8_blocks+bf16_residual,ok
jagmesh5.mtx,bfp8_outlier,7750,0.00544,0.004544,0.835294,1.59265,4.20464e-05,1,bfp8_outlier_blocks+bf16_residual,ok
jagmesh5.mtx,auto,7750,0.004384,0.003904,0.890511,1.00103,0,1,dict_u8_lossless,ok
lock1074.mtx,bfp8,51588,0.008832,0.010496,1.18841,1.18008,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
lock1074.mtx,bfp8_outlier,51588,0.008992,0.008672,0.964413,1.18008,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
lock1074.mtx,auto,51588,0.009984,0.007968,0.798077,1.00016,0,1,dict_u8_lossless,ok
lshp2233.mtx,bfp8,15337,0.003872,0.003904,1.00826,1.66408,4.46599e-05,1,bfp8_blocks+bf16_residual,ok
