matrix,codec,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2,joint_value_codec,status
se_G_01.mtx,bfp8,20,0.003808,0.00384,1.0084,1.2,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
se_G_01.mtx,bfp8_outlier,20,0.005568,0.004672,0.839081,1.2,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
se_G_01.mtx,auto,20,0.003872,0.003808,0.983471,1.4,0,1,dict_u8_lossless,ok
chesapeake.mtx,bfp8,340,0.004096,0.004928,1.20312,1.42059,4.49127e-05,1,bfp8_blocks+bf16_residual,ok
chesapeake.mtx,bfp8_outlier,340,0.006336,0.005952,0.939394,1.42059,4.49127e-05,1,bfp8_outlier_blocks+bf16_residual,ok
chesapeake.mtx,auto,340,0.004512,0.00416,0.921986,1.02353,0,1,dict_u8_lossless,ok
ash85.mtx,bfp8,523,0.004032,0.003904,0.968254,1.65201,4.81856e-05,1,bfp8_blocks+bf16_residual,ok
ash85.mtx,bfp8_outlier,523,0.003904,0.003808,0.97541,1.65201,4.81856e-05,1,bfp8_outlier_blocks+bf16_residual,ok
ash85.mtx,auto,523,0.004032,0.003808,0.944444,1.0153,0,1,dict_u8_lossless,ok
can_24.mtx,bfp8,160,0.006496,0.003904,0.600985,1.5375,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
can_24.mtx,bfp8_outlier,160,0.003808,0.003808,1,1.5375,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
can_24.mtx,auto,160,0.003936,0.003872,0.98374,1.05,0,1,dict_u8_lossless,ok
can_838.mtx,bfp8,10010,0.00736,0.004832,0.656522,1.78911,3.57279e-05,1,bfp8_blocks+bf16_residual,ok
can_838.mtx,bfp8_outlier,10010,0.006592,0.006304,0.956311,1.78911,3.57279e-05,1,bfp8_outlier_blocks+bf16_residual,ok
can_838.mtx,auto,10010,0.007424,0.006464,0.87069,1.0008,0,1,dict_u8_lossless,ok
dwt_1007.mtx,bfp8,8575,0.007392,0.005696,0.770563,1.50601,4.94094e-05,1,bfp8_blocks+bf16_residual,ok
dwt_1007.mtx,bfp8_outlier,8575,0.004096,0.004128,1.00781,1.50601,4.94094e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_1007.mtx,auto,8575,0.007008,0.00592,0.844749,1.00093,0,1,dict_u8_lossless,ok
dwt_2680.mtx,bfp8,25026,0.004288,0.004384,1.02239,1.5195,3.50055e-05,1,bfp8_blocks+bf16_residual,ok
dwt_2680.mtx,bfp8_outlier,25026,0.005856,0.006752,1.15301,1.5195,3.50055e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_2680.mtx,auto,25026,0.004736,0.004352,0.918919,1.00032,0,1,dict_u8_lossless,ok
dwt_59.mtx,bfp8,267,0.003904,0.003808,0.97541,1.55431,5.66755e-05,1,bfp8_blocks+bf16_residual,ok
dwt_59.mtx,bfp8_outlier,267,0.00608,0.004416,0.726316,1.55431,5.66755e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_59.mtx,auto,267,0.005728,0.008128,1.41899,1.02996,0,1,dict_u8_lossless,ok
dwt_878.mtx,bfp8,7448,0.006816,0.005792,0.849765,1.52175,4.74718e-05,1,bfp8_blocks+bf16_residual,ok
dwt_878.mtx,bfp8_outlier,7448,0.004,0.004288,1.072,1.52175,4.74718e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_878.mtx,auto,7448,0.004544,0.004192,0.922535,1.00107,0,1,dict_u8_lossless,ok
jagmesh4.mtx,bfp8,9504,0.003808,0.003936,1.03361,1.59933,4.47591e-05,1,bfp8_blocks+bf16_residual,ok
jagmesh4.mtx,bfp8_outlier,9504,0.005216,0.004,0.766871,1.59933,4.47591e-05,1,bfp8_outlier_blocks+bf16_residual,ok
jagmesh4.mtx,auto,9504,0.00432,0.003904,0.903704,1.00084,0,1,dict_u8_lossless,ok
lap_25.mtx,bfp8,169,0.003872,0.003808,0.983471,1.22485,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
lap_25.mtx,bfp8_outlier,169,0.004,0.003968,0.992,1.22485,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
lap_25.mtx,auto,169,0.00384,0.004096,1.06667,1.04734,0,1,dict_u8_lossless,ok
lshp1882.mtx,bfp8,12904,0.006784,0.00528,0.778302,1.64174,4.76372e-05,1,bfp8_blocks+bf16_residual,ok
lshp1882.mtx,bfp8_outlier,12904,0.003968,0.004,1.00806,1.64174,4.76372e-05,1,bfp8_outlier_blocks+bf16_residual,ok
lshp1882.mtx,auto,12904,0.00432,0.003904,0.903704,1.00062,0,1,dict_u8_lossless,ok
lshp_778.mtx,bfp8,5272,0.003872,0.004032,1.04132,1.5956,3.73685e-05,1,bfp8_blocks+bf16_residual,ok
lshp_778.mtx,bfp8_outlier,5272,0.006496,0.004928,0.758621,1.5956,3.73685e-05,1,bfp8_outlier_blocks+bf16_residual,ok
lshp_778.mtx,auto,5272,0.00432,0.004,0.925926,1.00152,0,1,dict_u8_lossless,ok
bibd_14_7.mtx,bfp8,72072,0.015552,0.012992,0.835391,1.35824,8.27737e-05,1,bfp8_blocks+bf16_residual,ok
bibd_14_7.mtx,bfp8_outlier,72072,0.014368,0.013536,0.942093,1.35824,8.27737e-05,1,bfp8_outlier_blocks+bf16_residual,ok
bibd_14_7.mtx,auto,72072,0.020928,0.013696,0.654434,1.00011,0,1,dict_u8_lossless,ok
aa03.mtx,bfp8,70806,0.014944,0.016256,1.08779,1.76352,5.05012e-05,1,bfp8_blocks+bf16_residual,ok
aa03.mtx,bfp8_outlier,70806,0.01424,0.016288,1.14382,1.76352,5.05012e-05,1,bfp8_outlier_blocks+bf16_residual,ok
aa03.mtx,auto,70806,0.021888,0.017984,0.821637,1.00011,0,1,dict_u8_lossless,ok
mycielskian11.mtx,bfp8,134710,0.014048,0.014048,1,1.66292,4.6035e-05,1,bfp8_blocks+bf16_residual,ok
mycielskian11.mtx,bfp8_outlier,134710,0.01408,0.012928,0.918182,1.66292,4.6035e-05,1,bfp8_outlier_blocks+bf16_residual,ok
mycielskian11.mtx,auto,134710,0.01824,0.012864,0.705263,1.00006,0,1,dict_u8_lossless,ok
mycielskian9.mtx,bfp8,14542,0.009952,0.01008,1.01286,1.64702,4.84072e-05,1,bfp8_blocks+bf16_residual,ok
mycielskian9.mtx,bfp8_outlier,14542,0.009952,0.009952,1,1.64702,4.84072e-05,1,bfp8_outlier_blocks+bf16_residual,ok
mycielskian9.mtx,auto,14542,0.012,0.009984,0.832,1.00055,0,1,dict_u8_lossless,ok
Tina_DisCog.mtx,bfp8,48,0.003808,0.003808,1,1.45833,6.31398e-05,1,bfp8_blocks+bf16_residual,ok
Tina_DisCog.mtx,bfp8_outlier,48,0.005056,0.004736,0.936709,1.45833,6.31398e-05,1,bfp8_outlier_blocks+bf16_residual,ok
Tina_DisCog.mtx,auto,48,0.003808,0.003872,1.01681,1.16667,0,1,dict_u8_lossless,ok
struct4.mtx,bfp8,237798,0.011552,0.014464,1.25208,1.37616,6.1849e-05,1,bfp8_blocks+bf16_residual,ok
struct4.mtx,bfp8_outlier,237798,0.01104,0.008672,0.785507,1.37616,6.1849e-05,1,bfp8_outlier_blocks+bf16_residual,ok
struct4.mtx,auto,237798,0.012384,0.00976,0.788114,1.00003,0,1,dict_u8_lossless,ok
G65.mtx,bfp8,32000,0.003296,0.0048,1.45631,2,0,1,bfp8_blocks+bf16_residual,ok
G65.mtx,bfp8_outlier,32000,0.003872,0.00384,0.991736,2,0,1,bfp8_outlier_blocks+bf16_residual,ok
G65.mtx,auto,32000,0.003872,0.00384,0.991736,1.0005,0,1,dict_u8_lossless,ok
Franz8.mtx,bfp8,100368,0.0048,0.004992,1.04,2,0,1,bfp8_blocks+bf16_residual,ok
Franz8.mtx,bfp8_outlier,100368,0.005344,0.004352,0.814371,2,0,1,bfp8_outlier_blocks+bf16_residual,ok
Franz8.mtx,auto,100368,0.006368,0.00512,0.80402,1.00016,0,1,dict_u8_lossless,ok
klein-b1.mtx,bfp8,60,0.003968,0.004224,1.06452,1.85,5.42535e-05,1,bfp8_blocks+bf16_residual,ok
klein-b1.mtx,bfp8_outlier,60,0.004768,0.00464,0.973154,1.85,5.42535e-05,1,bfp8_outlier_blocks+bf16_residual,ok
klein-b1.mtx,auto,60,0.004096,0.005632,1.375,1.26667,0,1,dict_u8_lossless,ok
n3c4-b4.mtx,bfp8,30,0.004864,0.00432,0.888158,2,0,1,bfp8_blocks+bf16_residual,ok
n3c4-b4.mtx,bfp8_outlier,30,0.005344,0.004128,0.772455,2,0,1,bfp8_outlier_blocks+bf16_residual,ok
n3c4-b4.mtx,auto,30,0.00544,0.00512,0.941176,1.53333,0,1,dict_u8_lossless,ok
