matrix,matrix_bytes,operator_name,requested_operator,operator_family,operator_promotion_status,operator_runner,verify_gate,layout,effective_layout,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_unique_overflow,value_codec_auto_raw_payload_bytes,value_codec_auto_candidate_payload_bytes,status,failure_class,rows,cols,nnz,work_items,gpu_num_blocks,position_payload_bytes,value_exact,value_codebook_size,value_payload_bytes,value_bytes_per_nnz,avg_ms,min_ms,gpu_convert_event_ms,value_codec_auto_select_event_ms,col_bitmap_pack_event_ms,load_balance_pack_event_ms,value_codec_auto_select_host_ms,value_pack_host_ms,cusparse_preprocess_event_ms,verify_cpu,spmv_output_rel_err,elapsed_s,error
se_G_01.mtx,400,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,8,8,20,1,2,16,true,0,160,8,0.0050,0.0035,0.1722,0.0000,0.0116,0.0869,0.0000,0.0000,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.988,
se_G_01.mtx,400,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,160,0,ok,none,8,8,20,1,2,16,true,0,0,0,0.0055,0.0046,0.1648,0.1323,0.0123,0.0861,0.1542,0.0375,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.997,
se_G_01.mtx,400,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,8,8,20,1,2,16,false,0,40,2,0.0049,0.0045,0.1615,0.0000,0.0121,0.0859,0.0000,0.0493,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.959,
se_G_01.mtx,400,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,8,8,20,1,2,16,false,0,40,2,0.0053,0.0044,0.1740,0.0000,0.0116,0.0915,0.0000,0.0581,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.948,
se_G_01.mtx,400,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,8,8,20,1,2,16,false,0,24,1.2,0.0049,0.0035,0.1806,0.0000,0.0127,0.0897,0.0000,0.0648,,"PASS, max_abs=0.0001, max_rel=0.0001",0.0001,2.271,
se_G_01.mtx,400,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,8,8,20,1,2,16,false,0,24,1.2,0.0050,0.0040,0.1746,0.0000,0.0131,0.0930,0.0000,0.0678,,"PASS, max_abs=0.0001, max_rel=0.0001",0.0001,1.993,
se_G_01.mtx,400,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp4,bfp4,false,0,false,0,0,ok,none,8,8,20,1,2,16,false,0,14,0.7,0.0053,0.0044,0.1707,0.0000,0.0140,0.0927,0.0000,0.0541,,"PASS, max_abs=0.0044, max_rel=0.0020",0.0020,1.861,
se_G_01.mtx,400,hybrid_lb,hybrid_lb,structural_hybrid,promoted,csr_bitbsr_fused_lb,exact_abs_or_rel,csr_bitbsr_fused_lb,csr_bitbsr_fused_lb,original,raw_double,false,,,,,ok,none,8,8,20,1,2,,1,0,160,8,0.0057,0.0043,,,0.0000,0.0000,,,0.0000,"PASS, max_abs=0.0000, max_rel=0.0000",,1.823,
se_G_01.mtx,400,cusparse_csr,cusparse_default,external_baseline,external_baseline,cusparse_csr,exact_abs_or_rel,cusparse_csr,cusparse_csr,original,original,false,,,,,ok,none,8,8,20,0,0,116,true,0,160,8,0.0115,0.0082,0.0000,,0.0000,0.0000,,0.0000,0.1398,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.060,
chesapeake.mtx,12606,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,39,39,340,5,43,344,true,0,2720,8,0.0058,0.0046,0.1856,0.0000,0.0113,0.0918,0.0000,0.0000,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.948,
