matrix,matrix_bytes,operator_name,requested_operator,operator_family,operator_promotion_status,operator_runner,verify_gate,layout,effective_layout,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_unique_overflow,value_codec_auto_raw_payload_bytes,value_codec_auto_candidate_payload_bytes,status,failure_class,rows,cols,nnz,work_items,gpu_num_blocks,position_payload_bytes,value_exact,value_codebook_size,value_payload_bytes,value_bytes_per_nnz,avg_ms,min_ms,gpu_convert_event_ms,value_codec_auto_select_event_ms,col_bitmap_pack_event_ms,load_balance_pack_event_ms,value_codec_auto_select_host_ms,value_pack_host_ms,cusparse_preprocess_event_ms,verify_cpu,spmv_output_rel_err,elapsed_s,error
cage_G_36.mtx,952,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,42,42,210,6,39,312,true,0,1680,8,0.0062,0.0054,0.2202,0.0000,0.0174,0.1074,0.0000,0.0000,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.506,
cage_G_36.mtx,952,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,1680,0,ok,none,42,42,210,6,39,312,true,0,0,0,0.0052,0.0047,0.2081,0.1555,0.0119,0.1001,0.1805,0.0514,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.775,
cage_G_36.mtx,952,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,42,42,210,6,39,312,false,0,420,2,0.0069,0.0048,0.1715,0.0000,0.0102,0.0897,0.0000,0.0556,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.700,
cage_G_36.mtx,952,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,42,42,210,6,39,312,false,0,420,2,0.0064,0.0051,0.1831,0.0000,0.0132,0.0894,0.0000,0.0597,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.116,
cage_G_36.mtx,952,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,42,42,210,6,39,312,false,0,288,1.37143,0.0072,0.0044,0.4251,0.0000,0.0343,0.2166,0.0000,0.1322,,"PASS, max_abs=0.0003, max_rel=0.0001",0.0001,2.029,
cage_G_36.mtx,952,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,42,42,210,6,39,312,false,0,288,1.37143,0.0055,0.0046,0.1831,0.0000,0.0129,0.0968,0.0000,0.0791,,"PASS, max_abs=0.0003, max_rel=0.0001",0.0001,1.805,
cage_G_36.mtx,952,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp4,bfp4,false,0,false,0,0,ok,none,42,42,210,6,39,312,false,0,183,0.871429,0.0067,0.0047,0.1713,0.0000,0.0106,0.0883,0.0000,0.0703,,"PASS, max_abs=0.0081, max_rel=0.0020",0.0020,2.186,
cage_G_36.mtx,952,hybrid_lb,hybrid_lb,structural_hybrid,promoted,csr_bitbsr_fused_lb,exact_abs_or_rel,csr_bitbsr_fused_lb,csr_bitbsr_fused_lb,original,raw_double,false,,,,,ok,none,42,42,210,6,39,,1,0,1680,8,0.0066,0.0049,,,0.0000,0.0000,,,0.0000,"PASS, max_abs=0.0000, max_rel=0.0000",,1.732,
cage_G_36.mtx,952,cusparse_csr,cusparse_default,external_baseline,external_baseline,cusparse_csr,exact_abs_or_rel,cusparse_csr,cusparse_csr,original,original,false,,,,,ok,none,42,42,210,0,0,1012,true,0,1680,8,0.0121,0.0082,0.0000,,0.0000,0.0000,,0.0000,0.1508,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.311,
nasa4704.mtx,524185,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,4704,4704,104756,590,12282,98256,true,0,838048,8,0.0093,0.0078,0.2518,0.0000,0.0196,0.1004,0.0000,0.0000,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.205,
