matrix,requested_operator,operator_name,operator_family,status,failure_class,claim_status,avg_ms,min_ms,speedup_vs_cusparse,speedup_vs_original_lb,speedup_vs_original_nolb,value_payload_bytes,position_payload_bytes,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_candidate_payload_bytes,value_codec_exact,value_codebook_size,verify_gate,verify_cpu
ACTIVSg10K.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0102,0.0089,1.392157,1.000000,,1087104,478168,original,original,false,0,0,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
ACTIVSg10K.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0102,0.0094,1.392157,1.000000,,1087104,478168,auto_lossless,original,true,132289,1087104,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
ACTIVSg10K.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0103,0.0097,1.378641,0.990291,,271776,478168,fp16,fp16,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=2.6903, max_rel=3.3548"
ACTIVSg10K.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0103,0.0090,1.378641,0.990291,,271776,478168,bf16,bf16,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=76.9437, max_rel=419.0632"
ACTIVSg10K.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0099,0.0088,1.434343,1.030303,,255430,478168,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=111.0625, max_rel=25814.4000"
ACTIVSg10K.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0133,0.0110,1.067669,0.766917,,266294,478168,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=16.3534, max_rel=25814.4000"
ACTIVSg10K.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,fail:1,accuracy_fail,accuracy_fail,0.0140,0.0130,1.014286,0.728571,,187486,478168,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,"FAIL, max_abs=670.2385, max_rel=2267.1055"
ACTIVSg10K.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0076,0.0064,1.868421,1.342105,,1087104,,original,raw_double,false,,,1,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
ACTIVSg10K.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0142,0.0123,1.000000,0.718310,,1087104,623556,original,original,false,,,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
ACTIVSg2000.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0092,0.0088,1.869565,1.000000,,228040,126816,original,original,false,0,0,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
