matrix,matrix_bytes,operator_name,requested_operator,operator_family,operator_promotion_status,operator_runner,verify_gate,layout,effective_layout,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_unique_overflow,value_codec_auto_raw_payload_bytes,value_codec_auto_candidate_payload_bytes,status,failure_class,rows,cols,nnz,work_items,gpu_num_blocks,position_payload_bytes,value_exact,value_codebook_size,value_payload_bytes,value_bytes_per_nnz,avg_ms,min_ms,gpu_convert_event_ms,value_codec_auto_select_event_ms,col_bitmap_pack_event_ms,load_balance_pack_event_ms,value_codec_auto_select_host_ms,value_pack_host_ms,cusparse_preprocess_event_ms,verify_cpu,spmv_output_rel_err,elapsed_s,error
cage_G_31.mtx,558,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,19,19,76,3,14,112,true,0,608,8,0.0051,0.0046,0.1748,0.0000,0.0108,0.0836,0.0000,0.0000,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.400,
cage_G_31.mtx,558,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,608,0,ok,none,19,19,76,3,14,112,true,0,0,0,0.0053,0.0044,0.1713,0.1404,0.0120,0.0835,0.1604,0.0412,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.285,
cage_G_31.mtx,558,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,19,19,76,3,14,112,false,0,152,2,0.0049,0.0043,0.1627,0.0000,0.0121,0.0791,0.0000,0.0435,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.957,
cage_G_31.mtx,558,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,19,19,76,3,14,112,false,0,152,2,0.0050,0.0044,0.1616,0.0000,0.0107,0.0861,0.0000,0.0560,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.218,
cage_G_31.mtx,558,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,19,19,76,3,14,112,false,0,104,1.36842,0.0052,0.0038,0.1597,0.0000,0.0094,0.0832,0.0000,0.0607,,"PASS, max_abs=0.0002, max_rel=0.0001",0.0001,2.364,
cage_G_31.mtx,558,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,19,19,76,3,14,112,false,0,104,1.36842,0.0054,0.0048,0.1697,0.0000,0.0146,0.0825,0.0000,0.0661,,"PASS, max_abs=0.0002, max_rel=0.0001",0.0001,1.923,
cage_G_31.mtx,558,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp4,bfp4,false,0,false,0,0,ok,none,19,19,76,3,14,112,false,0,66,0.868421,0.0065,0.0041,0.1654,0.0000,0.0115,0.0842,0.0000,0.0638,,"PASS, max_abs=0.0054, max_rel=0.0020",0.0020,1.850,
cage_G_31.mtx,558,hybrid_lb,hybrid_lb,structural_hybrid,promoted,csr_bitbsr_fused_lb,exact_abs_or_rel,csr_bitbsr_fused_lb,csr_bitbsr_fused_lb,original,raw_double,false,,,,,ok,none,19,19,76,3,14,,1,0,608,8,0.0126,0.0106,,,0.0000,0.0000,,,0.0000,"PASS, max_abs=0.0000, max_rel=0.0000",,1.635,
cage_G_31.mtx,558,cusparse_csr,cusparse_default,external_baseline,external_baseline,cusparse_csr,exact_abs_or_rel,cusparse_csr,cusparse_csr,original,original,false,,,,,ok,none,19,19,76,0,0,384,true,0,608,8,0.0120,0.0082,0.0000,,0.0000,0.0000,,0.0000,0.1900,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.155,
nasa2910.mtx,830997,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,2910,2910,174296,557,12388,99104,true,0,1394368,8,0.0091,0.0084,0.3031,0.0000,0.0101,0.0985,0.0000,0.0000,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.126,
nasa2910.mtx,830997,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,1394368,0,ok,none,2910,2910,174296,557,12388,99104,true,0,0,0,0.0092,0.0073,0.3021,7.1046,0.0152,0.0927,87.7859,2.8441,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.303,
