matrix,matrix_bytes,operator_name,requested_operator,operator_family,operator_promotion_status,operator_runner,verify_gate,layout,effective_layout,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_unique_overflow,value_codec_auto_raw_payload_bytes,value_codec_auto_candidate_payload_bytes,status,failure_class,rows,cols,nnz,work_items,gpu_num_blocks,position_payload_bytes,value_exact,value_codebook_size,value_payload_bytes,value_bytes_per_nnz,avg_ms,min_ms,gpu_convert_event_ms,value_codec_auto_select_event_ms,col_bitmap_pack_event_ms,load_balance_pack_event_ms,value_codec_auto_select_host_ms,value_pack_host_ms,cusparse_preprocess_event_ms,verify_cpu,spmv_output_rel_err,elapsed_s,error
bp_200.mtx,45515,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,822,822,3802,108,1529,12232,false,0,7604,2,0.0096,0.0092,0.2737,0.0000,0.0119,0.0846,0.0000,0.1375,,"PASS, max_abs=0.0913, max_rel=0.4648",0.0004,1.810,
bp_200.mtx,45515,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,822,822,3802,108,1529,12232,false,0,7604,2,0.0096,0.0078,0.2892,0.0000,0.0112,0.0889,0.0000,0.1189,,"PASS, max_abs=0.2837, max_rel=2.9531",0.0011,1.925,
bp_200.mtx,45515,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,822,822,3802,108,1529,12232,false,0,6860,1.80431,0.0095,0.0086,0.2829,0.0000,0.0114,0.0907,0.0000,0.2147,,"PASS, max_abs=1.0576, max_rel=4936218261718749713755275264.0000",0.0042,1.998,
bp_200.mtx,45515,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,822,822,3802,108,1529,12232,false,0,7116,1.87165,0.0118,0.0100,0.2835,0.0000,0.0110,0.0979,0.0000,0.3697,,"PASS, max_abs=1.0026, max_rel=4936218261718749713755275264.0000",0.0039,2.048,
bp_200.mtx,45515,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp4,bfp4,false,0,false,0,0,fail:1,accuracy_fail,822,822,3802,108,1529,12232,false,0,4959,1.30431,0.0128,0.0116,0.2852,0.0000,0.0114,0.0928,0.0000,0.2307,,"FAIL, max_abs=16.2161, max_rel=48095703125000000337889722368.0000",0.0637,2.065,
bp_200.mtx,45515,hybrid_lb,hybrid_lb,structural_hybrid,promoted,csr_bitbsr_fused_lb,exact_abs_or_rel,csr_bitbsr_fused_lb,csr_bitbsr_fused_lb,original,raw_double,false,,,,,ok,none,822,822,3802,103,1529,,1,0,30416,8,0.0112,0.0094,,,0.0000,0.0000,,,0.0000,"PASS, max_abs=0.0000, max_rel=0.0000",,2.271,
bp_200.mtx,45515,cusparse_csr,cusparse_default,external_baseline,external_baseline,cusparse_csr,exact_abs_or_rel,cusparse_csr,cusparse_csr,original,original,false,,,,,ok,none,822,822,3802,0,0,18500,true,0,30416,8,0.0137,0.0102,0.0000,,0.0000,0.0000,,0.0000,0.1363,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.073,
gas11.mtx,27858,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,459,862,2166,58,790,6320,true,0,17328,8,0.0079,0.0069,0.1921,0.0000,0.0131,0.0944,0.0000,0.0000,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.766,
gas11.mtx,27858,original_lb,auto_lossless_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,original,true,309,false,17328,17328,ok,none,459,862,2166,58,790,6320,true,0,17328,8,0.0071,0.0063,0.1950,0.1424,0.0132,0.0916,0.1564,0.0000,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.080,
gas11.mtx,27858,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,459,862,2166,58,790,6320,false,0,4332,2,0.0086,0.0071,0.1933,0.0000,0.0121,0.0826,0.0000,0.0961,,"PASS, max_abs=0.1031, max_rel=0.0030",0.0002,1.915,
gas11.mtx,27858,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,459,862,2166,58,790,6320,false,0,4332,2,0.0090,0.0072,0.1897,0.0000,0.0118,0.0852,0.0000,0.0939,,"PASS, max_abs=1.3790, max_rel=0.0334",0.0026,2.043,
gas11.mtx,27858,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,459,862,2166,58,790,6320,false,0,3746,1.72946,0.0080,0.0068,0.2094,0.0000,0.0114,0.0894,0.0000,0.1473,,"PASS, max_abs=2.6322, max_rel=853027343749999860968916516864.0000",0.0049,2.502,
