matrix,matrix_bytes,operator_name,requested_operator,operator_family,operator_promotion_status,operator_runner,verify_gate,layout,effective_layout,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_unique_overflow,value_codec_auto_raw_payload_bytes,value_codec_auto_candidate_payload_bytes,status,failure_class,rows,cols,nnz,work_items,gpu_num_blocks,position_payload_bytes,value_exact,value_codebook_size,value_payload_bytes,value_bytes_per_nnz,avg_ms,min_ms,gpu_convert_event_ms,value_codec_auto_select_event_ms,col_bitmap_pack_event_ms,load_balance_pack_event_ms,value_codec_auto_select_host_ms,value_pack_host_ms,cusparse_preprocess_event_ms,verify_cpu,spmv_output_rel_err,elapsed_s,error
cage_G_02.mtx,465,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,14,14,42,2,8,64,true,0,336,8,0.0050,0.0035,0.1705,0.0000,0.0105,0.0854,0.0000,0.0000,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.733,
cage_G_02.mtx,465,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,336,0,ok,none,14,14,42,2,8,64,true,0,0,0,0.0056,0.0052,0.1867,0.1389,0.0146,0.0812,0.1556,0.0389,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.971,
cage_G_02.mtx,465,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,14,14,42,2,8,64,false,0,84,2,0.0047,0.0041,0.1523,0.0000,0.0106,0.0798,0.0000,0.0440,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.659,
cage_G_02.mtx,465,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,14,14,42,2,8,64,false,0,84,2,0.0050,0.0044,0.1702,0.0000,0.0109,0.0869,0.0000,0.0538,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.078,
cage_G_02.mtx,465,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,14,14,42,2,8,64,false,0,58,1.38095,0.0048,0.0046,0.1692,0.0000,0.0140,0.0862,0.0000,0.0625,,"PASS, max_abs=0.0001, max_rel=0.0001",0.0001,2.369,
cage_G_02.mtx,465,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,14,14,42,2,8,64,false,0,58,1.38095,0.0048,0.0044,0.1680,0.0000,0.0104,0.0879,0.0000,0.0637,,"PASS, max_abs=0.0001, max_rel=0.0001",0.0001,1.943,
cage_G_02.mtx,465,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp4,bfp4,false,0,false,0,0,ok,none,14,14,42,2,8,64,false,0,37,0.880952,0.0063,0.0054,0.1894,0.0000,0.0140,0.0955,0.0000,0.0756,,"PASS, max_abs=0.0044, max_rel=0.0020",0.0020,2.119,
cage_G_02.mtx,465,hybrid_lb,hybrid_lb,structural_hybrid,promoted,csr_bitbsr_fused_lb,exact_abs_or_rel,csr_bitbsr_fused_lb,csr_bitbsr_fused_lb,original,raw_double,false,,,,,ok,none,14,14,42,2,8,,1,0,336,8,0.0060,0.0053,,,0.0000,0.0000,,,0.0000,"PASS, max_abs=0.0000, max_rel=0.0000",,1.859,
cage_G_02.mtx,465,cusparse_csr,cusparse_default,external_baseline,external_baseline,cusparse_csr,exact_abs_or_rel,cusparse_csr,cusparse_csr,original,original,false,,,,,ok,none,14,14,42,0,0,228,true,0,336,8,0.0115,0.0082,0.0000,,0.0000,0.0000,,0.0000,0.1518,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.052,
net25.mtx,2020732,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,9520,9520,401200,3555,93169,745352,true,0,3209600,8,0.0096,0.0087,1.7950,0.0000,0.0149,0.1134,0.0000,0.0000,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.808,
