matrix,status,group,nnz,num_blocks,mat_fill,gspan,real_i8,null_i8,gain_i8,real_i4,null_i4,gain_i4
AG-Monien/cage/cage_G_45.mtx,pattern,AG-Monien,5124,1694,0.09452,0.0,,,,,,
AG-Monien/crack/crack.mtx,pattern,AG-Monien,60760,33907,0.056,0.0,,,,,,
AG-Monien/crack_dual/crack_dual.mtx,pattern,AG-Monien,60086,26887,0.06984,0.0,,,,,,
AG-Monien/grid2_dual/grid2_dual.mtx,pattern,AG-Monien,12224,5100,0.0749,0.0,,,,,,
AG-Monien/netz4504/netz4504.mtx,pattern,AG-Monien,5156,2063,0.0781,0.0,,,,,,
AG-Monien/netz4504_dual/netz4504_dual.mtx,pattern,AG-Monien,2342,848,0.08631,0.0,,,,,,
AG-Monien/se/se.mtx,pattern,AG-Monien,98300,32760,0.09377,0.0,,,,,,
Bai/cdde3/cdde3.mtx,ok,Bai,4681,1175,0.12449,2.065,0.002564,0.003962,0.3527,0.026171,0.042056,0.3777
Bai/cdde4/cdde4.mtx,ok,Bai,4681,1175,0.12449,4.164,0.001184,0.001636,0.2764,0.030404,0.04642,0.345
Bai/cdde5/cdde5.mtx,ok,Bai,4681,1175,0.12449,2.002,0.001221,0.001963,0.3778,0.016218,0.027314,0.4063
Bai/cdde6/cdde6.mtx,ok,Bai,4681,1175,0.12449,4.102,0.001802,0.002393,0.2469,0.03789,0.045444,0.1662
Bai/bwm200/bwm200.mtx,ok,Bai,796,148,0.16807,7.266,0.0009,0.001689,0.4671,0.058171,0.067455,0.1376
Bai/bwm2000/bwm2000.mtx,ok,Bai,7996,1496,0.16703,13.894,0.003406,0.003552,0.041,0.062487,0.062942,0.0072
Bai/cdde1/cdde1.mtx,ok,Bai,4681,1175,0.12449,2.083,0.000106,0.000293,0.6379,0.029018,0.046273,0.3729
Bai/cdde2/cdde2.mtx,ok,Bai,4681,1175,0.12449,4.182,9.3e-05,0.000417,0.7762,0.028256,0.047373,0.4035
Bai/cryg2500/cryg2500.mtx,ok,Bai,12349,3076,0.12546,36.012,0.002918,0.005381,0.4576,0.055016,0.059478,0.075
Bai/dw1024/dw1024.mtx,ok,Bai,10114,1986,0.15915,14.843,0.003248,0.005196,0.3748,0.042542,0.077861,0.4536
Bai/dw2048/dw2048.mtx,ok,Bai,10114,1986,0.15915,14.843,0.003248,0.005196,0.3748,0.042542,0.077861,0.4536
