matrix,nnz,csr5_convert_ms,csr5_spmv_ms,csr5_gflops,csr5_bandwidth,check,status
cage_G_02.mtx,42,2.00739,0.00590202,0.0142324,0.171467,PASS,ok
net25.mtx,401200,34.0145,0.0373714,21.4709,217.766,PASS,ok
ash292.mtx,2208,2.88317,0.010255,0.430618,4.64825,PASS,ok
can_161.mtx,1377,3.57654,0.0152065,0.181106,1.93838,PASS,ok
can_61.mtx,557,2.07158,0.0107407,0.103718,1.1057,PASS,ok
cegb3306.mtx,74916,34.677,0.0384314,3.89868,40.0192,PASS,ok
dwt_209.mtx,1743,3.36624,0.0256777,0.13576,1.45543,PASS,ok
dwt_492.mtx,3156,2.58957,0.0122069,0.517084,5.65483,PASS,ok
dwt_758.mtx,5994,2.40198,0.0130227,0.92055,9.90428,PASS,ok
jagmesh1.mtx,6264,12.4098,0.0214017,0.585373,6.37874,PASS,ok
jagmesh9.mtx,9101,4.17802,0.0302647,0.601427,6.54928,PASS,ok
lshp1009.mtx,6865,3.00682,0.0246049,0.558019,6.07245,PASS,ok
lshp_265.mtx,1753,2.24867,0.0106788,0.328315,3.58131,PASS,ok
bibd_12_4.mtx,2970,14.3871,0.0229763,0.258527,2.61992,PASS,ok
bibd_9_3.mtx,252,16.1322,0.0244675,0.0205988,0.223807,PASS,ok
air04.mtx,72965,14.4703,0.020498,7.11921,71.6741,PASS,ok
mycielskian6.mtx,472,2.96454,0.0156865,0.060179,0.638,PASS,ok
Tina_AskCal.mtx,29,3.47248,0.0067232,0.00862684,0.106497,PASS,ok
skirt.mtx,196520,2.2545,0.0170881,23.0008,238.855,PASS,ok
G13.mtx,3200,4.5608,0.0105469,0.606811,6.9787,PASS,ok
Franz4.mtx,46528,5.94138,0.0117904,7.89254,85.8304,PASS,ok
ch7-8-b1.mtx,2352,2.39194,0.0124562,0.377643,4.90967,PASS,ok
n3c4-b1.mtx,30,3.04566,0.00574941,0.0104359,0.136362,PASS,ok
n3c5-b5.mtx,1260,2.50384,0.0106836,0.235877,2.59502,PASS,ok
n4c6-b1.mtx,420,1.95741,0.0109474,0.0767308,0.997866,PASS,ok
rlfdual.mtx,282031,1.94368,0.0211416,26.6802,271.373,PASS,ok
Trefethen_700.mtx,12654,2.55472,0.0152352,1.66115,17.1631,PASS,ok
m3plates.mtx,6639,1.9496,0.0108485,1.22394,24.5257,PASS,ok
mnist_test_norm_10NN.mtx,145600,2.83552,0.0183775,15.8454,164.984,PASS,ok
deter2.mtx,35731,2.41702,0.00907258,7.8767,86.8291,PASS,ok
iiasa.mtx,7317,2.22957,0.0125719,1.16403,12.2792,PASS,ok
t2dal_bci_Atop.mtx,111,2.32912,0.00600374,0.0369769,8.87913,PASS,ok
sx-mathoverflow_C2Q.mtx,101329,2.16653,0.0147656,13.725,157.42,PASS,ok
odepa400.mtx,1201,2.15805,0.010683,0.224844,2.69812,PASS,ok
Trec4.mtx,3,2.92413,0.00577693,0.00103861,0.015233,PASS,ok
lp_sc105.mtx,340,2.77328,0.0111822,0.0608111,0.721148,PASS,ok
testbig.mtx,61639,25.4653,0.0139918,8.81073,103.213,PASS,ok
Sandi_authors.mtx,248,6.97168,0.0140442,0.0353171,0.426938,PASS,ok
poli_large.mtx,33074,3.0927,0.00917491,7.20966,92.4678,PASS,ok
lp_fffff800.mtx,6401,13.3458,0.0393824,0.325069,3.41046,PASS,ok
rajat19.mtx,5399,3.75613,0.027597,0.391275,4.41599,PASS,ok
fd18.mtx,63406,6.91734,0.0433374,2.92616,33.8105,PASS,ok
lp_czprob.mtx,10708,8.53942,0.0266943,0.802268,8.44044,PASS,ok
sctap1-2b.mtx,99454,2.67078,0.013563,14.6655,160.272,PASS,ok
ulevimin.mtx,164538,2.19264,0.0227948,14.4365,147.834,PASS,ok
cdde4.mtx,4681,1.80451,0.0110424,0.847823,9.52293,PASS,ok
rdb450.mtx,2580,5.11968,0.0155204,0.332467,3.67285,PASS,ok
Trec8.mtx,549,8.30986,0.00671254,0.163574,1.67746,PASS,ok
cryg10000.mtx,49699,4.67261,0.0220851,4.50068,50.4405,PASS,ok
lpi_greenbea.mtx,31074,3.20083,0.0162162,3.83246,40.0956,PASS,ok
Maragal_3.mtx,18391,15.8019,0.0155505,2.36533,24.9577,PASS,ok
c-25.mtx,49635,4.25085,0.0396682,2.50251,26.1738,PASS,ok
c-36.mtx,65941,4.79309,0.0156741,8.41398,89.866,PASS,ok
t2d_q4_A_22.mtx,87025,11.2943,0.033404,5.21045,55.6256,PASS,ok
kineticBatchReactor_2.mtx,44840,3.5007,0.0265923,3.3724,35.6921,PASS,ok
