matrix,nnz,csr5_convert_ms,csr5_spmv_ms,csr5_gflops,csr5_bandwidth,check,status
ex3sta1.mtx,678998,10.0921,0.0249388,54.4532,552.607,PASS,ok
pwt.mtx,326107,13.7227,0.0166357,39.2056,418.399,PASS,ok
blckhole.mtx,14872,2.19002,0.0124549,2.38813,25.9358,PASS,ok
can_292.mtx,2540,13.9977,0.0180586,0.281307,3.00733,PASS,ok
cegb2919.mtx,321543,2.41962,0.0218221,29.4694,296.3,PASS,ok
dwt_193.mtx,3493,2.74234,0.0141126,0.495019,5.11459,PASS,ok
dwt_346.mtx,3226,3.66774,0.0122469,0.526827,5.60762,PASS,ok
dwt_66.mtx,320,2.324,0.0112473,0.0569024,0.639796,PASS,ok
eris1176.mtx,18552,2.45555,0.0143436,2.58679,26.852,PASS,ok
jagmesh7.mtx,7450,3.7824,0.0163723,0.910073,9.93506,PASS,ok
lock3491.mtx,160444,12.6009,0.0339135,9.46195,95.8549,PASS,ok
lshp3025.mtx,20833,22.6647,0.0102697,4.05719,44.107,PASS,ok
will57.mtx,281,4.77066,0.0101708,0.0552561,0.620206,PASS,ok
bibd_17_4.mtx,14280,10.9569,0.0523246,0.545823,5.4895,PASS,ok
air02.mtx,61555,19.0338,0.0261194,4.71336,47.1567,PASS,ok
mycielskian4.mtx,40,2.74086,0.0072463,0.0110401,0.129169,PASS,ok
GD02_a.mtx,87,20.7714,0.0071265,0.0244159,0.283449,PASS,ok
pwt.mtx,326107,6.40672,0.0149463,43.637,465.691,PASS,ok
G11.mtx,3200,2.15088,0.0107384,0.595992,6.85428,PASS,ok
mahindas_b.mtx,162,2.3519,0.0112462,0.0288096,1.63077,PASS,ok
ch5-5-b1.mtx,400,3.19286,0.00932682,0.0857742,1.11549,PASS,ok
n2c6-b2.mtx,1365,9.23888,0.0117634,0.232076,2.78525,PASS,ok
n3c5-b3.mtx,840,2.144,0.0107727,0.15595,1.7938,PASS,ok
n4c5-b2.mtx,1365,4.68435,0.0240043,0.11373,1.36492,PASS,ok
problem.mtx,86,3.85424,0.00617907,0.0278359,0.302311,PASS,ok
Trefethen_2000.mtx,41906,14.3609,0.0291853,2.87172,29.5396,PASS,ok
bcsstm35.mtx,20619,2.19757,0.0106024,3.8895,73.1182,PASS,ok
Fashion_MNIST_norm_10NN.mtx,158304,2.63798,0.0167216,18.9341,196.518,PASS,ok
deter0.mtx,11173,2.69181,0.0113052,1.97661,21.8076,PASS,ok
deter8.mtx,22299,4.18813,0.0316909,1.40728,15.5236,PASS,ok
flowmeter5_B.mtx,24,16.6997,0.014764,0.00325114,7.89161,PASS,ok
sx-mathoverflow.mtx,239978,4.37107,0.0312934,15.3373,162.89,PASS,ok
cdde3.mtx,4681,9.50374,0.0160786,0.582264,6.54011,PASS,ok
IG5-9.mtx,4570,18.5656,0.0227636,0.401518,4.19564,PASS,ok
relat4.mtx,172,2.71446,0.0111299,0.0309079,0.380598,PASS,ok
p05.mtx,59045,4.49738,0.0175477,6.72965,70.7775,PASS,ok
Ragusa16.mtx,81,17.3802,0.0181822,0.00890982,0.105158,PASS,ok
