matrix,nnz,csr5_convert_ms,csr5_spmv_ms,csr5_gflops,csr5_bandwidth,check,status
cage_G_31.mtx,76,2.22483,0.00575491,0.0264122,0.304436,PASS,ok
nasa2910.mtx,174296,27.7713,0.0315255,11.0575,111.683,PASS,ok
ash331.mtx,662,3.92381,0.00943446,0.140337,1.8248,PASS,ok
can_187.mtx,1491,3.16234,0.0132196,0.225573,2.42578,PASS,ok
can_634.mtx,7228,14.242,0.0142436,1.01491,10.6835,PASS,ok
curtis54.mtx,291,3.42621,0.0178376,0.0326278,0.36283,PASS,ok
dwt_221.mtx,1629,3.3625,0.0254663,0.127934,1.38363,PASS,ok
dwt_503.mtx,6027,3.40416,0.0118934,1.0135,10.6429,PASS,ok
dwt_869.mtx,7285,16.3945,0.0122941,1.18512,12.6997,PASS,ok
jagmesh2.mtx,6865,2.22672,0.0100187,1.37044,14.9133,PASS,ok
jgl009.mtx,50,16.4728,0.00724109,0.0138101,0.153568,PASS,ok
lshp1270.mtx,8668,2.38278,0.0118859,1.45854,15.8679,PASS,ok
lshp_406.mtx,2716,4.98637,0.0113704,0.477732,5.20615,PASS,ok
bibd_12_5.mtx,7920,10.946,0.0521837,0.303543,3.05069,PASS,ok
bibd_9_5.mtx,1260,21.164,0.0165007,0.15272,1.55363,PASS,ok
air06.mtx,70806,2.0625,0.0219776,6.44348,64.8854,PASS,ok
mycielskian7.mtx,1510,3.93728,0.0149413,0.202124,2.0978,PASS,ok
Tina_AskCog.mtx,36,11.622,0.0121046,0.00594815,0.0707169,PASS,ok
sphere2.mtx,450,20.7513,0.0324098,0.0277694,0.302254,PASS,ok
G32.mtx,8000,16.5996,0.0207745,0.770175,8.85721,PASS,ok
Franz5.mtx,44056,4.7487,0.0216819,4.06385,44.7243,PASS,ok
ch8-8-b1.mtx,3136,4.844,0.0106492,0.588965,7.65692,PASS,ok
n3c4-b2.mtx,60,1.83661,0.00610141,0.0196676,0.236667,PASS,ok
n3c5-b6.mtx,840,5.55808,0.0240792,0.0697697,0.757665,PASS,ok
lp_degen3.mtx,25432,7.86154,0.0373875,1.36046,14.0871,PASS,ok
SmallW.mtx,994,35.2822,0.0112943,0.176017,2.18127,PASS,ok
lp_cre_b.mtx,260785,29.8335,0.020482,25.4648,260.301,PASS,ok
ncvxqp1.mtx,73963,23.0626,0.0110037,13.4433,147.641,PASS,ok
optdigits_10NN.mtx,79650,4.11117,0.0295494,5.39097,56.1921,PASS,ok
deter3.mtx,44547,3.82794,0.0316919,2.81126,31.0082,PASS,ok
nl.mtx,47035,1.97085,0.0122484,7.68022,83.6988,PASS,ok
FA.mtx,72176,2.66752,0.0151683,9.5167,103.567,PASS,ok
sx-superuser_C2A.mtx,289487,2.5393,0.0157315,36.8034,516.083,PASS,ok
laser.mtx,9000,3.48602,0.0120113,1.49859,17.9854,PASS,ok
Trec5.mtx,12,2.68381,0.00635034,0.00377933,0.0440922,PASS,ok
lp_sc205.mtx,665,2.16538,0.00977354,0.136082,1.61293,PASS,ok
fv1.mtx,85264,17.6261,0.0184116,9.26196,98.8794,PASS,ok
WorldCities.mtx,7518,29.7695,0.0145685,1.03209,10.5806,PASS,ok
illc1033.mtx,4732,2.4808,0.0118747,0.796992,9.01416,PASS,ok
lp_ganges.mtx,6937,2.37805,0.012008,1.1554,12.8625,PASS,ok
c-44.mtx,85000,10.6411,0.0309346,5.49546,59.1163,PASS,ok
jan99jac020.mtx,38692,2.71878,0.0130173,5.94471,65.6921,PASS,ok
lp_finnis.mtx,2760,2.13722,0.00927267,0.595298,6.59659,PASS,ok
sctap1-2b_A_1.mtx,1678,2.48208,0.0107296,0.31278,3.43014,PASS,ok
cond-mat.mtx,95188,3.23859,0.013942,13.6548,150.945,PASS,ok
cdde6.mtx,4681,14.1069,0.0104342,0.897238,10.078,PASS,ok
rdb5000.mtx,29600,2.20048,0.011043,5.36086,59.0422,PASS,ok
lpi_bgprtr.mtx,70,15.7267,0.00829213,0.0168835,0.19826,PASS,ok
cryg2500.mtx,12349,3.01379,0.0120437,2.0507,22.9983,PASS,ok
lpi_pang.mtx,2933,3.45408,0.024721,0.237288,2.54828,PASS,ok
benzene.mtx,242669,2.59331,0.0205544,23.6124,240.923,PASS,ok
c-26.mtx,34537,21.8984,0.0122899,5.62041,60.4098,PASS,ok
c-37.mtx,74676,2.33344,0.013071,11.4262,121.794,PASS,ok
t2d_q9_A_11.mtx,87025,20.497,0.0124377,13.9937,149.394,PASS,ok
kineticBatchReactor_3.mtx,53219,7.73658,0.0262009,4.06238,42.9515,PASS,ok
reorientation_2.mtx,17910,1.87974,0.0153023,2.34082,24.6192,PASS,ok
bp_600.mtx,4172,2.0545,0.00943322,0.884534,9.89143,PASS,ok
bips07_1998_C.mtx,20,3.97446,0.00614157,0.00651299,0.0735968,PASS,ok
rbsb480.mtx,17088,1.92845,0.0164052,2.08324,21.1837,PASS,ok
gre_216b.mtx,876,3.92477,0.0102461,0.170991,1.96328,PASS,ok
lp_israel.mtx,2443,3.89936,0.0122965,0.397349,4.14362,PASS,ok
freeFlyingRobot_10.mtx,40080,2.6465,0.0151499,5.29112,57.0445,PASS,ok
freeFlyingRobot_3.mtx,12922,3.08378,0.0135862,1.90223,20.54,PASS,ok
goddardRocketProblem_2.mtx,9058,2.04102,0.0127662,1.41906,15.0059,PASS,ok
spaceShuttleEntry_1.mtx,6891,2.95491,0.0123064,1.11991,11.7455,PASS,ok
spaceStation_3.mtx,5103,3.35645,0.0124359,0.820686,8.65781,PASS,ok
tumorAntiAngiogenesis_4.mtx,4593,3.26566,0.0122954,0.747107,7.91546,PASS,ok
bp_1400.mtx,4790,3.43562,0.0102525,0.934405,10.3065,PASS,ok
progas.mtx,8897,3.4503,0.00928384,1.91666,21.2998,PASS,ok
bips98_1450.mtx,44678,2.14016,0.00856086,10.4377,120.224,PASS,ok
gemat1.mtx,47369,5.4807,0.0309199,3.06398,32.5528,PASS,ok
photogrammetry2.mtx,37056,17.3551,0.0612514,1.20996,12.9758,PASS,ok
viscoplastic1_C_3.mtx,61166,2.5505,0.0167411,7.30728,76.1739,PASS,ok
ex13.mtx,75628,8.75434,0.0164021,9.22174,94.0964,PASS,ok
bcsstk28.mtx,219024,15.5355,0.0342138,12.8033,129.58,PASS,ok
nos6.mtx,3255,2.70202,0.0112345,0.579465,6.516,PASS,ok
west0132.mtx,414,2.3728,0.0108302,0.0764526,0.911152,PASS,ok
wm1.mtx,2909,1.90054,0.0128072,0.454275,4.73701,PASS,ok
lp_grow22.mtx,8252,2.31731,0.0161479,1.02205,10.5478,PASS,ok
Sieber.mtx,14873,18.3701,0.0547232,0.543572,5.93796,PASS,ok
Si2.mtx,17801,2.06285,0.0200739,1.77355,18.1954,PASS,ok
S10PI_n1.mtx,1317,2.5408,0.0119168,0.221033,2.74235,PASS,ok
hydr1.mtx,23752,2.25706,0.0121504,3.90967,44.3393,PASS,ok
d_dyn.mtx,238,4.31392,0.0127023,0.0374736,0.457241,PASS,ok
bcsstm25.mtx,15439,3.53482,0.0230751,1.33815,21.4106,PASS,ok
delf_A_25.mtx,15647,3.45018,0.0152266,2.05522,23.072,PASS,ok
large_A_36.mtx,20676,4.12909,0.0117338,3.52417,39.6324,PASS,ok
t3dl_e.mtx,20360,3.59661,0.0123789,3.28946,52.6316,PASS,ok
M80PI_n1_E.mtx,4028,2.48621,0.0133426,0.603781,9.66079,PASS,ok
S80PI_n1_E.mtx,4028,3.45568,0.0124392,0.647632,10.3624,PASS,ok
ck656.mtx,3884,9.31414,0.0115201,0.674298,7.42665,PASS,ok
msc01050.mtx,29156,4.27824,0.0200745,2.90478,29.6757,PASS,ok
s1rmt3m1.mtx,219521,2.54224,0.0216542,20.2751,205.793,PASS,ok
cavity03.mtx,7327,7.48045,0.0286719,0.511092,5.24373,PASS,ok
cavity11.mtx,76367,2.52096,0.0187436,8.1486,83.1489,PASS,ok
cavity19.mtx,138187,1.92931,0.020973,13.1776,134.387,PASS,ok
ex1.mtx,4352,2.87386,0.017951,0.484875,4.99337,PASS,ok
ex21.mtx,19144,3.93149,0.0197008,1.94347,19.8345,PASS,ok
ex3.mtx,52685,4.89162,0.0306394,3.43903,35.1037,PASS,ok
DK01R.mtx,11766,1.82291,0.0113898,2.06607,21.6124,PASS,ok
bayer06.mtx,27576,1.99235,0.0125907,4.38039,46.6711,PASS,ok
bcsstk07.mtx,7860,2.95104,0.0169704,0.926321,9.56043,PASS,ok
bcsstk19.mtx,6853,4.32003,0.0133271,1.02843,11.0202,PASS,ok
fs_680_1.mtx,2646,3.49264,0.0102476,0.516413,5.9608,PASS,ok
nos3.mtx,15844,2.73197,0.0136644,2.31903,24.0336,PASS,ok
lhr07c.mtx,156508,3.53366,0.0164029,19.083,196.197,PASS,ok
fpga_dcop_01.mtx,5892,6.63779,0.0244679,0.481611,5.41461,PASS,ok
fpga_dcop_09.mtx,5888,9.33642,0.038943,0.30239,3.39994,PASS,ok
fpga_dcop_17.mtx,5892,3.55638,0.0187775,0.627561,7.05548,PASS,ok
fpga_dcop_25.mtx,5892,14.739,0.00905565,1.30129,14.63,PASS,ok
fpga_dcop_33.mtx,5892,4.27357,0.0143727,0.819889,9.21777,PASS,ok
fpga_dcop_41.mtx,5892,2.74906,0.0109817,1.07306,12.0641,PASS,ok
fpga_dcop_49.mtx,5892,4.10218,0.0202991,0.580519,6.5266,PASS,ok
utm1700b.mtx,21509,20.4088,0.0192638,2.2331,23.3902,PASS,ok
adder_dcop_17.mtx,11246,2.61571,0.015292,1.47084,16.1313,PASS,ok
adder_dcop_27.mtx,11246,17.542,0.0298282,0.754051,8.27002,PASS,ok
adder_dcop_35.mtx,11246,2.40704,0.0151257,1.487,16.3086,PASS,ok
adder_dcop_43.mtx,11246,25.0319,0.0326405,0.689083,7.55749,PASS,ok
oscil_dcop_05.mtx,1544,20.5339,0.0170435,0.181183,2.11482,PASS,ok
oscil_dcop_13.mtx,1544,3.37978,0.0211709,0.145861,1.70252,PASS,ok
oscil_dcop_21.mtx,1544,4.71616,0.0103621,0.298008,3.47843,PASS,ok
oscil_dcop_29.mtx,1544,17.7917,0.0263609,0.117143,1.36733,PASS,ok
oscil_dcop_37.mtx,1544,2.21213,0.0102466,0.301369,3.51766,PASS,ok
oscil_dcop_45.mtx,1544,12.392,0.0114964,0.268607,3.13526,PASS,ok
oscil_dcop_53.mtx,1544,2.11398,0.0117602,0.262581,3.06492,PASS,ok
