matrix,nnz,csr5_convert_ms,csr5_spmv_ms,csr5_gflops,csr5_bandwidth,check,status
se_G_01.mtx,20,16.3419,0.0143022,0.00279677,0.0349596,PASS,ok
chesapeake.mtx,340,25.7022,0.0246398,0.0275976,0.295132,PASS,ok
ash85.mtx,523,2.11994,0.0106846,0.0978975,1.07481,PASS,ok
can_24.mtx,160,4.19763,0.0101896,0.0314047,0.342703,PASS,ok
can_838.mtx,10010,3.38538,0.0221897,0.902219,9.47556,PASS,ok
dwt_1007.mtx,8575,29.9795,0.0408207,0.42013,4.49742,PASS,ok
dwt_2680.mtx,25026,2.41734,0.0126965,3.9422,41.9553,PASS,ok
dwt_59.mtx,267,2.04,0.00906698,0.0588951,0.667477,PASS,ok
dwt_878.mtx,7448,2.22058,0.013259,1.12347,12.0296,PASS,ok
jagmesh4.mtx,9504,13.1642,0.0186022,1.02181,11.1473,PASS,ok
lap_25.mtx,169,16.4708,0.00738224,0.0457856,0.499036,PASS,ok
lshp1882.mtx,12904,4.14586,0.0118684,2.1745,23.6482,PASS,ok
lshp_778.mtx,5272,10.2129,0.010097,1.04427,11.3677,PASS,ok
bibd_14_7.mtx,72072,3.56515,0.0218807,6.58772,65.9273,PASS,ok
aa03.mtx,70806,1.97469,0.0329418,4.29886,43.2892,PASS,ok
mycielskian11.mtx,134710,3.37411,0.022242,12.1131,121.96,PASS,ok
mycielskian9.mtx,14542,15.908,0.0379196,0.76699,7.79121,PASS,ok
Tina_DisCog.mtx,48,11.4366,0.0112817,0.00850936,0.0971485,PASS,ok
struct4.mtx,237798,21.5286,0.049181,9.67032,97.7647,PASS,ok
G65.mtx,32000,2.47632,0.0117301,5.45603,62.7447,PASS,ok
Franz8.mtx,100368,8.10637,0.0193526,10.3726,114.098,PASS,ok
klein-b1.mtx,60,2.40285,0.00572547,0.020959,0.273165,PASS,ok
n3c4-b4.mtx,30,4.60112,0.00586854,0.010224,0.11519,PASS,ok
n3c6-b2.mtx,1365,3.41235,0.0211065,0.129344,1.55232,PASS,ok
lpi_galenet.mtx,22,6.67277,0.0103846,0.00423705,0.0520002,PASS,ok
t520.mtx,286341,10.9661,0.0296701,19.3016,195.266,PASS,ok
lp_etamacro.mtx,2537,2.22112,0.0112988,0.449072,4.9159,PASS,ok
poli3.mtx,37849,2.25162,0.0134628,5.62273,71.3403,PASS,ok
TS_b.mtx,140,14.966,0.0153495,0.0182416,1.85726,PASS,ok
deter5.mtx,29715,2.05856,0.0120424,4.93505,54.4358,PASS,ok
stormg2-8.mtx,28553,13.3267,0.0153572,3.71851,40.6305,PASS,ok
soc-sign-bitcoin-otc.mtx,35592,3.63235,0.0144807,4.91578,54.0316,PASS,ok
bwm200.mtx,796,2.87757,0.0106151,0.149975,1.72622,PASS,ok
IG5-6.mtx,251,2.05306,0.00603344,0.0832029,0.89236,PASS,ok
rel3.mtx,18,3.72064,0.00615494,0.00584896,0.0825353,PASS,ok
lp_sc50b.mtx,148,7.86893,0.0177456,0.0166802,0.200839,PASS,ok
fv3.mtx,87025,20.3679,0.0224164,7.76439,82.8907,PASS,ok
epb0.mtx,7764,3.168,0.0115843,1.34044,15.2631,PASS,ok
impcol_d.mtx,1339,3.19539,0.0102441,0.261418,3.11242,PASS,ok
lp_osa_07.mtx,144812,3.6536,0.0642707,4.50632,45.272,PASS,ok
cage8.mtx,11003,13.7484,0.0195016,1.12842,11.909,PASS,ok
jan99jac040.mtx,82842,23.8836,0.0115211,14.3809,158.072,PASS,ok
lp_standgub.mtx,3339,3.58557,0.0284732,0.234536,2.49764,PASS,ok
sctap1-2b_A_3.mtx,99454,2.18067,0.0112105,17.743,193.904,PASS,ok
ex29.mtx,23754,6.98797,0.0137856,3.44621,36.9607,PASS,ok
rdb1250l.mtx,7300,2.24486,0.0114804,1.27173,14.0243,PASS,ok
rdb968.mtx,5632,2.2712,0.0111601,1.00931,11.1343,PASS,ok
