matrix,nnz,csr5_convert_ms,csr5_spmv_ms,csr5_gflops,csr5_bandwidth,check,status
whitaker3.mtx,57978,2.93341,0.0197241,5.8789,64.7515,PASS,ok
EternityII_A_b.mtx,358,2.49786,0.0113424,0.0631258,8.42042,PASS,ok
bcsstk33.mtx,591904,1.90563,0.0199047,59.4739,600.007,PASS,ok
can_268.mtx,3082,1.97667,0.0138665,0.444526,4.67747,PASS,ok
cegb2802.mtx,277362,19.8074,0.0185894,29.8409,300.218,PASS,ok
dwt_162.mtx,1182,15.3584,0.0212289,0.111358,1.20534,PASS,ok
dwt_310.mtx,2448,2.05882,0.0103281,0.474048,5.10105,PASS,ok
dwt_607.mtx,5131,2.31322,0.0184608,0.55588,5.95358,PASS,ok
dwt_992.mtx,16744,12.643,0.0152614,2.19429,22.7232,PASS,ok
jagmesh6.mtx,8993,2.81126,0.0166872,1.07783,11.7688,PASS,ok
lock2232.mtx,80352,4.60979,0.0329046,4.88394,49.6535,PASS,ok
lshp2614.mtx,17980,4.09686,0.0225354,1.59571,17.3492,PASS,ok
rgg010.mtx,76,9.12486,0.0098263,0.0154687,0.167306,PASS,ok
bibd_16_8.mtx,360360,15.3794,0.0432719,16.6556,166.589,PASS,ok
aa5.mtx,65953,39.9922,0.0387388,3.40501,34.2984,PASS,ok
mycielskian3.mtx,10,3.57222,0.0057719,0.00346506,0.0457388,PASS,ok
polbooks.mtx,882,17.2261,0.0108999,0.161836,1.73432,PASS,ok
barth4.mtx,40965,16.3316,0.0128386,6.38152,69.4414,PASS,ok
jazz.mtx,5484,4.44976,0.0190511,0.575715,5.88207,PASS,ok
G67.mtx,40000,2.06208,0.0109263,7.32176,84.2006,PASS,ok
ch4-4-b1.mtx,144,3.46403,0.0101469,0.0283831,0.369375,PASS,ok
n2c6-b1.mtx,210,9.21472,0.0107789,0.0389651,0.506917,PASS,ok
n3c5-b2.mtx,360,2.67354,0.0101164,0.0711719,0.854458,PASS,ok
n4c5-b1.mtx,210,3.41322,0.0211069,0.0198987,0.258873,PASS,ok
