matrix,nnz,csr5_convert_ms,csr5_spmv_ms,csr5_gflops,csr5_bandwidth,check,status
cage_G_01.mtx,30,2.88118,0.00596371,0.0100608,0.121401,PASS,ok
fxm3_6.mtx,94026,2.37578,0.0167009,11.26,116.211,PASS,ok
abb313.mtx,1557,3.45254,0.0100889,0.308655,3.45924,PASS,ok
can_144.mtx,1296,3.81779,0.00967693,0.267854,2.85752,PASS,ok
can_445.mtx,3809,2.02048,0.0122953,0.619587,6.6305,PASS,ok
cegb3024.mtx,79848,3.11533,0.016391,9.7429,99.6432,PASS,ok
dwt_198.mtx,1392,3.80781,0.0106891,0.260453,2.82719,PASS,ok
dwt_361.mtx,2953,2.14218,0.0102538,0.575984,6.18271,PASS,ok
dwt_72.mtx,222,6.03107,0.0107406,0.0413386,0.494201,PASS,ok
gent113.mtx,655,6.89901,0.00855101,0.153198,1.69103,PASS,ok
jagmesh8.mtx,7465,13.5052,0.0211509,0.70588,7.70633,PASS,ok
lock_700.mtx,22175,2.25654,0.0193314,2.2942,23.3767,PASS,ok
lshp3466.mtx,23896,2.02118,0.0123791,3.86071,41.9673,PASS,ok
bibd_11_5.mtx,4620,2.96032,0.016545,0.558478,5.62492,PASS,ok
bibd_17_4b.mtx,14280,2.98938,0.0204886,1.39394,14.0193,PASS,ok
air03.mtx,91028,2.70707,0.0123435,14.7492,147.612,PASS,ok
mycielskian5.mtx,142,2.00019,0.00629398,0.0451225,0.495711,PASS,ok
GD95_c.mtx,287,4.6199,0.0102267,0.0561275,0.634417,PASS,ok
shuttle_eddy.mtx,103599,1.88832,0.0122536,16.9092,179.305,PASS,ok
G12.mtx,3200,4.68224,0.00979536,0.653371,7.51417,PASS,ok
Franz3.mtx,11520,3.24941,0.0122009,1.88838,20.1431,PASS,ok
ch6-6-b1.mtx,900,4.28189,0.00820832,0.21929,2.85125,PASS,ok
n2c6-b3.mtx,5460,2.44333,0.0104173,1.04825,12.0553,PASS,ok
n3c5-b4.mtx,1260,25.1899,0.0120202,0.209647,2.34838,PASS,ok
n4c5-b3.mtx,5400,3.27302,0.0112195,0.962614,11.0704,PASS,ok
rlfddd.mtx,264627,2.21616,0.0247649,21.3712,215.674,PASS,ok
Trefethen_500.mtx,8478,4.16157,0.0228018,0.743625,7.69956,PASS,ok
bcsstm37.mtx,15525,16.0131,0.0113852,2.72724,54.153,PASS,ok
kmnist_norm_10NN.mtx,156932,14.8352,0.027914,11.244,116.739,PASS,ok
deter1.mtx,32187,2.31277,0.0101952,6.31413,69.6471,PASS,ok
ge.mtx,44825,2.37773,0.00971162,9.23121,104.791,PASS,ok
t2dal_bci_Abottom.mtx,99,12.4928,0.00622842,0.0317898,8.5203,PASS,ok
sx-mathoverflow_C2A.mtx,81121,3.15763,0.0213658,7.59353,89.8744,PASS,ok
cdde5.mtx,4681,3.51475,0.0101895,0.918786,10.32,PASS,ok
GL7d10.mtx,8,2.08195,0.0057384,0.00278823,0.0306706,PASS,ok
relat5.mtx,1058,2.23427,0.0116999,0.180857,2.15763,PASS,ok
r05.mtx,104145,2.99514,0.0225656,9.23041,95.0642,PASS,ok
Ragusa18.mtx,64,2.03066,0.00610717,0.020959,0.255438,PASS,ok
rw5151.mtx,20199,2.09834,0.0092048,4.3888,50.6036,PASS,ok
Kemelmacher.mtx,100875,43.9292,0.0303727,6.64247,77.666,PASS,ok
netscience.mtx,5484,17.2782,0.011051,0.992486,11.6507,PASS,ok
fd15.mtx,44206,2.42093,0.0102266,8.64533,99.9855,PASS,ok
lp_bnl2.mtx,14996,1.95478,0.0111551,2.68863,29.3867,PASS,ok
cq9.mtx,96653,4.65965,0.0108854,17.7583,187.812,PASS,ok
sctap1-2c_A_3.mtx,21854,16.9804,0.0123674,3.53413,38.6309,PASS,ok
cdde2.mtx,4681,3.31635,0.0192809,0.485558,5.4539,PASS,ok
rdb3200l.mtx,18880,10.7081,0.010222,3.69401,40.6971,PASS,ok
Trec6.mtx,40,6.65936,0.00599018,0.0133552,0.146239,PASS,ok
cage3.mtx,19,2.57104,0.00576835,0.00658767,0.0769717,PASS,ok
lp_stocfor3.mtx,76473,11.9124,0.0103247,14.8136,167.518,PASS,ok
model8.mtx,25277,2.75965,0.012867,3.92895,41.9907,PASS,ok
c-24.mtx,35699,3.80912,0.0210654,3.38935,36.2401,PASS,ok
c-35.mtx,62891,4.65165,0.0433394,2.90225,30.8326,PASS,ok
t2d_q4_A_21.mtx,87025,3.51616,0.0312823,5.56385,59.3983,PASS,ok
kineticBatchReactor_1.mtx,20600,11.3616,0.0501104,0.822185,8.71332,PASS,ok
kineticBatchReactor_9.mtx,86183,2.16858,0.0247086,6.97596,73.7009,PASS,ok
bp_200.mtx,3802,12.4449,0.0216801,0.350736,3.96252,PASS,ok
gas11.mtx,2166,2.65811,0.0103828,0.417228,4.70316,PASS,ok
psse1.mtx,57376,9.10198,0.0112498,10.2004,117.277,PASS,ok
b1_ss.mtx,15,12.4549,0.0136064,0.00220484,0.0285159,PASS,ok
tols1090.mtx,3546,6.28646,0.029959,0.236723,2.80396,PASS,ok
dynamicSoaringProblem_7.mtx,37680,8.06874,0.0203126,3.71002,39.1745,PASS,ok
freeFlyingRobot_16.mtx,44006,4.16083,0.0369508,2.38187,25.7927,PASS,ok
freeFlyingRobot_9.mtx,39964,2.17638,0.0140598,5.68484,60.9267,PASS,ok
reorientation_7.mtx,37150,11.6225,0.0238628,3.11363,32.6738,PASS,ok
spaceStation_14.mtx,24324,13.5649,0.0364689,1.33396,13.8793,PASS,ok
spaceStation_9.mtx,19674,4.71216,0.0437472,0.899441,9.31818,PASS,ok
bp_1000.mtx,4661,33.8271,0.00910797,1.0235,11.3184,PASS,ok
lpi_vol1.mtx,1646,2.10394,0.0113544,0.289932,3.24103,PASS,ok
bips07_2476.mtx,66498,14.7304,0.0425585,3.12502,36.0045,PASS,ok
bfwa62.mtx,450,2.51872,0.0090832,0.099084,1.07319,PASS,ok
lpi_klein1.mtx,750,3.17213,0.0263531,0.0569194,0.593935,PASS,ok
viscoplastic1_C_1.mtx,61166,2.07984,0.0144915,8.44163,87.9988,PASS,ok
cz308.mtx,3182,2.09846,0.0122943,0.517638,5.47733,PASS,ok
bcsstk05.mtx,2423,2.2305,0.0125129,0.387281,4.01986,PASS,ok
lns_511.mtx,2796,3.20819,0.0117526,0.475808,5.28018,PASS,ok
saylr1.mtx,1128,6.69536,0.011272,0.200141,2.25514,PASS,ok
west1505.mtx,5445,13.3668,0.0196469,0.554287,6.4623,PASS,ok
lp_fit1d.mtx,13427,2.59117,0.0150843,1.78026,17.822,PASS,ok
lhr02.mtx,37206,8.38538,0.0274734,2.70851,28.3755,PASS,ok
nasa2146.mtx,72250,2.2272,0.018969,7.61768,77.5346,PASS,ok
M10PI_n1.mtx,1317,18.4399,0.0130803,0.201372,2.49842,PASS,ok
extr1b_A_34.mtx,11404,13.9344,0.0127433,1.7898,20.5689,PASS,ok
rdist2.mtx,56934,13.5995,0.026186,4.34842,44.9499,PASS,ok
bcsstm23.mtx,3134,2.3559,0.0116803,0.536631,8.58643,PASS,ok
QRpivot_b.mtx,391,3.9105,0.009432,0.0829092,1.66921,PASS,ok
large_A_29.mtx,20686,3.4799,0.0178836,2.31341,26.021,PASS,ok
flowmeter0_E.mtx,9669,14.6052,0.0320917,0.602586,9.6415,PASS,ok
M40PI_n1_E.mtx,2028,16.6151,0.0399495,0.101528,1.62455,PASS,ok
S40PI_n1_E.mtx,2028,17.3965,0.015807,0.256595,4.10577,PASS,ok
ck104.mtx,992,16.7154,0.0158294,0.125336,1.33246,PASS,ok
bcsstm34.mtx,24270,2.95805,0.0198984,2.43939,24.7487,PASS,ok
sts4098.mtx,72356,2.09267,0.0131763,10.9828,113.56,PASS,ok
cavity01.mtx,7327,2.1032,0.018062,0.811314,8.32397,PASS,ok
cavity09.mtx,32747,3.57328,0.0344355,1.90194,19.4314,PASS,ok
cavity17.mtx,138187,17.6647,0.0324921,8.50588,86.7438,PASS,ok
cavity25.mtx,138187,22.4472,0.0375958,7.3512,74.9682,PASS,ok
ex2.mtx,26839,22.0017,0.0296045,1.81317,18.3106,PASS,ok
ex27.mtx,40782,44.4146,0.0271094,3.0087,30.5183,PASS,ok
ex8.mtx,106344,43.0008,0.05563,3.82326,38.9005,PASS,ok
bayer03.mtx,56196,4.0655,0.0368481,3.05015,32.6988,PASS,ok
bcsstk04.mtx,3648,4.27293,0.0242172,0.301274,3.07831,PASS,ok
bcsstk15.mtx,117816,18.7835,0.0185724,12.6872,129.423,PASS,ok
bcsstm10.mtx,22092,2.55501,0.0323844,1.36436,14.0461,PASS,ok
lund_b.mtx,2441,4.12954,0.0231032,0.211312,2.18965,PASS,ok
young3c.mtx,3988,23.7217,0.017257,0.46219,5.20694,PASS,ok
nasa4704.mtx,104756,6.13232,0.0235745,8.88722,91.2668,PASS,ok
fpga_dcop_07.mtx,5855,7.22326,0.0516106,0.226891,2.55265,PASS,ok
fpga_dcop_15.mtx,5892,1.96912,0.00909955,1.29501,14.5594,PASS,ok
fpga_dcop_23.mtx,5892,3.13552,0.00923299,1.27629,14.349,PASS,ok
fpga_dcop_31.mtx,5892,1.99802,0.0106163,1.11,12.4794,PASS,ok
fpga_dcop_39.mtx,5892,2.08013,0.00880726,1.33799,15.0426,PASS,ok
fpga_dcop_47.mtx,5892,17.9612,0.0185615,0.634863,7.13758,PASS,ok
plbuckle.mtx,30644,9.89971,0.0197409,3.10462,31.8257,PASS,ok
adder_dcop_03.mtx,11148,2.19072,0.0143905,1.54936,17.0057,PASS,ok
adder_dcop_25.mtx,11246,17.5462,0.0298218,0.754214,8.27181,PASS,ok
adder_dcop_33.mtx,11246,3.75184,0.0155077,1.45038,15.9069,PASS,ok
adder_dcop_41.mtx,11246,2.07354,0.0164262,1.36927,15.0174,PASS,ok
oscil_dcop_03.mtx,1544,3.19366,0.0111007,0.27818,3.24699,PASS,ok
oscil_dcop_11.mtx,1544,4.71376,0.0124066,0.248901,2.90524,PASS,ok
oscil_dcop_19.mtx,1544,3.31174,0.0201547,0.153215,1.78837,PASS,ok
oscil_dcop_27.mtx,1544,1.88902,0.01057,0.292149,3.41004,PASS,ok
oscil_dcop_35.mtx,1544,2.00688,0.00944006,0.327116,3.81819,PASS,ok
oscil_dcop_43.mtx,1544,3.27398,0.0100671,0.306742,3.58037,PASS,ok
oscil_dcop_51.mtx,1544,3.63261,0.00998323,0.309319,3.61045,PASS,ok
