matrix,nnz,csr5_convert_ms,csr5_spmv_ms,csr5_gflops,csr5_bandwidth,check,status
se_G_02.mtx,42,8.9512,0.00975667,0.00860949,0.106184,PASS,ok
data.mtx,30186,2.99046,0.0174602,3.45769,36.5365,PASS,ok
ash958.mtx,1916,2.1455,0.0116385,0.329251,4.28061,PASS,ok
can_256.mtx,2916,3.0207,0.0307306,0.189778,1.99788,PASS,ok
can_96.mtx,768,18.1131,0.0111008,0.138368,1.48782,PASS,ok
dwt_1242.mtx,10426,2.97389,0.0202854,1.02793,11.0142,PASS,ok
dwt_307.mtx,2523,3.08211,0.0138303,0.364852,3.91518,PASS,ok
dwt_592.mtx,5104,2.49709,0.0128146,0.796594,8.52062,PASS,ok
dwt_918.mtx,7384,2.01411,0.0131325,1.12453,12.0845,PASS,ok
jagmesh5.mtx,7750,1.89373,0.0115971,1.33654,14.5867,PASS,ok
lock1074.mtx,51588,3.26477,0.0238985,4.31725,43.712,PASS,ok
lshp2233.mtx,15337,2.64486,0.0138132,2.22063,24.1464,PASS,ok
man_5976.mtx,225046,13.9093,0.0203327,22.1364,224.891,PASS,ok
bibd_15_7.mtx,135135,2.90925,0.0159039,16.9939,170.019,PASS,ok
aa3.mtx,70806,31.4983,0.0323342,4.37963,44.1026,PASS,ok
mycielskian12.mtx,407200,3.55389,0.0471633,17.2677,173.458,PASS,ok
karate.mtx,156,3.62198,0.00979261,0.0318608,0.36068,PASS,ok
divorce.mtx,225,2.34813,0.0113631,0.0396017,0.449172,PASS,ok
g3rmt3m3.mtx,207695,21.8383,0.0493387,8.41915,85.4945,PASS,ok
G66.mtx,36000,9.08685,0.0115473,6.23524,71.7056,PASS,ok
ch3-3-b1.mtx,36,3.5759,0.0131766,0.00546424,0.0713387,PASS,ok
klein-b2.mtx,60,3.17645,0.00569203,0.0210821,0.253688,PASS,ok
n3c5-b1.mtx,90,2.09824,0.00583949,0.0308246,0.401405,PASS,ok
n3c6-b3.mtx,5460,9.91696,0.0106804,1.02243,11.7583,PASS,ok
complex.mtx,46463,4.0543,0.0241313,3.85085,39.0174,PASS,ok
tols2000.mtx,5184,10.7008,0.0210983,0.491414,6.05186,PASS,ok
lpi_bgetam.mtx,2537,5.04918,0.0172999,0.293296,3.21065,PASS,ok
poli4.mtx,73249,2.49629,0.0145018,10.1021,129.017,PASS,ok
ch.mtx,24102,5.41696,0.0282811,1.70446,18.6147,PASS,ok
