matrix,requested_operator,operator_name,operator_family,status,failure_class,claim_status,avg_ms,min_ms,speedup_vs_cusparse,speedup_vs_original_lb,speedup_vs_original_nolb,value_payload_bytes,position_payload_bytes,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_candidate_payload_bytes,value_codec_exact,value_codebook_size,verify_gate,verify_cpu
3elt_dual.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0075,0.0069,1.893333,1.000000,,212448,138072,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
3elt_dual.mtx,auto_lossless_lb,all_one_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_win,0.0071,0.0059,2.000000,1.056338,,0,138072,auto_lossless,all_one,true,1,0,true,0,exact_abs_or_rel,SKIP
3elt_dual.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0086,0.0068,1.651163,0.872093,,53112,138072,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
3elt_dual.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0085,0.0071,1.670588,0.882353,,53112,138072,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
3elt_dual.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0087,0.0066,1.632184,0.862069,,61074,138072,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
3elt_dual.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0089,0.0070,1.595506,0.842697,,61074,138072,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
3elt_dual.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0097,0.0089,1.463918,0.773196,,47796,138072,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
3elt_dual.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0059,0.0044,2.406780,1.271186,,212448,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
3elt_dual.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0142,0.0123,1.000000,0.528169,,212448,142228,original,original,false,,,true,0,exact_abs_or_rel,SKIP
662_bus.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0069,0.0061,1.811594,1.000000,,19792,11416,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
662_bus.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0070,0.0066,1.785714,0.985714,,19792,11416,auto_lossless,original,true,1416,19792,true,0,exact_abs_or_rel,SKIP
662_bus.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0081,0.0072,1.543210,0.851852,,4948,11416,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
662_bus.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0081,0.0074,1.543210,0.851852,,4948,11416,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
662_bus.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0092,0.0072,1.358696,0.750000,,5328,11416,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
662_bus.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0101,0.0087,1.237624,0.683168,,5520,11416,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
662_bus.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0112,0.0091,1.116071,0.616071,,4091,11416,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
662_bus.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0066,0.0049,1.893939,1.045455,,19792,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
662_bus.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0125,0.0102,1.000000,0.552000,,19792,12548,original,original,false,,,true,0,exact_abs_or_rel,SKIP
Cities.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0054,0.0046,2.185185,1.000000,,10736,672,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
Cities.mtx,auto_lossless_lb,dict4_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0070,0.0063,1.685714,0.771429,,696,672,auto_lossless,dict4,true,3,696,true,3,exact_abs_or_rel,SKIP
Cities.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0079,0.0065,1.493671,0.683544,,2684,672,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
Cities.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0077,0.0060,1.532468,0.701299,,2684,672,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
Cities.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0074,0.0051,1.594595,0.729730,,1510,672,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
Cities.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0073,0.0054,1.616438,0.739726,,1510,672,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
Cities.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0082,0.0068,1.439024,0.658537,,839,672,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
Cities.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0077,0.0060,1.532468,0.701299,,10736,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
Cities.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0118,0.0082,1.000000,0.457627,,10736,5592,original,original,false,,,true,0,exact_abs_or_rel,SKIP
D_10.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0089,0.0072,1.730337,1.000000,,60912,35792,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
D_10.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0103,0.0087,1.495146,0.864078,,60912,35792,auto_lossless,original,true,19,60912,true,0,exact_abs_or_rel,SKIP
D_10.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0093,0.0084,1.655914,0.956989,,15228,35792,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
D_10.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0091,0.0085,1.692308,0.978022,,15228,35792,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
D_10.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0096,0.0091,1.604167,0.927083,,16562,35792,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
D_10.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0118,0.0103,1.305085,0.754237,,16882,35792,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
D_10.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0136,0.0130,1.132353,0.654412,,12755,35792,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
D_10.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0079,0.0069,1.949367,1.126582,,60912,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
D_10.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0154,0.0102,1.000000,0.577922,,60912,32300,original,original,false,,,true,0,exact_abs_or_rel,SKIP
EX1.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0086,0.0071,1.511628,1.000000,,69888,20048,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
