matrix,requested_operator,operator_name,operator_family,status,failure_class,claim_status,avg_ms,min_ms,speedup_vs_cusparse,speedup_vs_original_lb,speedup_vs_original_nolb,value_payload_bytes,position_payload_bytes,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_candidate_payload_bytes,value_codec_exact,value_codebook_size,verify_gate,verify_cpu
1138_bus.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0071,0.0061,1.873239,1.000000,,32432,13792,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
1138_bus.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0087,0.0068,1.528736,0.816092,,32432,13792,auto_lossless,original,true,2087,32432,true,0,exact_abs_or_rel,SKIP
1138_bus.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0083,0.0067,1.602410,0.855422,,8108,13792,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
1138_bus.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0090,0.0077,1.477778,0.788889,,8108,13792,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
1138_bus.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0082,0.0073,1.621951,0.865854,,7502,13792,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
1138_bus.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0122,0.0100,1.090164,0.581967,,7822,13792,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
1138_bus.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0115,0.0109,1.156522,0.617391,,5475,13792,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
1138_bus.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0069,0.0055,1.927536,1.028986,,32432,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
1138_bus.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0133,0.0120,1.000000,0.533835,,32432,20772,original,original,false,,,true,0,exact_abs_or_rel,SKIP
ACTIVSg70K.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0117,0.0108,1.247863,1.000000,,1909016,827008,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
ACTIVSg70K.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0117,0.0107,1.247863,1.000000,,1909016,827008,auto_lossless,original,true,139226,1909016,true,0,exact_abs_or_rel,SKIP
ACTIVSg70K.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0115,0.0102,1.269565,1.017391,,477254,827008,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
ACTIVSg70K.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0115,0.0101,1.269565,1.017391,,477254,827008,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
ACTIVSg70K.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0112,0.0099,1.303571,1.044643,,445379,827008,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
ACTIVSg70K.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0137,0.0122,1.065693,0.854015,,464467,827008,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
ACTIVSg70K.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0118,0.0109,1.237288,0.991525,,326066,827008,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
ACTIVSg70K.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0079,0.0065,1.848101,1.481013,,1909016,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
ACTIVSg70K.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0146,0.0123,1.000000,0.801370,,1909016,1234508,original,original,false,,,true,0,exact_abs_or_rel,SKIP
