matrix,matrix_bytes,operator_name,requested_operator,operator_family,operator_promotion_status,operator_runner,verify_gate,layout,effective_layout,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_unique_overflow,value_codec_auto_raw_payload_bytes,value_codec_auto_candidate_payload_bytes,status,failure_class,rows,cols,nnz,work_items,gpu_num_blocks,position_payload_bytes,value_exact,value_codebook_size,value_payload_bytes,value_bytes_per_nnz,avg_ms,min_ms,gpu_convert_event_ms,value_codec_auto_select_event_ms,col_bitmap_pack_event_ms,load_balance_pack_event_ms,value_codec_auto_select_host_ms,value_pack_host_ms,cusparse_preprocess_event_ms,verify_cpu,spmv_output_rel_err,elapsed_s,error
airfoil1_dual.mtx,117863,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,8034,8034,23626,1005,15261,122088,true,0,189008,8,0.0077,0.0065,0.1944,0.0000,0.0114,0.0944,0.0000,0.0000,,SKIP,,2.717,
airfoil1_dual.mtx,117863,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,189008,0,ok,none,8034,8034,23626,1005,15261,122088,true,0,0,0,0.0070,0.0063,0.1956,0.2572,0.0134,0.1013,0.2806,0.4057,,SKIP,,1.429,
airfoil1_dual.mtx,117863,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,8034,8034,23626,1005,15261,122088,false,0,47252,2,0.0068,0.0065,0.1856,0.0000,0.0120,0.0903,0.0000,0.5645,,SKIP,,1.245,
airfoil1_dual.mtx,117863,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,8034,8034,23626,1005,15261,122088,false,0,47252,2,0.0069,0.0065,0.1732,0.0000,0.0129,0.0871,0.0000,0.4777,,SKIP,,2.035,
airfoil1_dual.mtx,117863,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,8034,8034,23626,1005,15261,122088,false,0,54148,2.29188,0.0092,0.0074,0.1737,0.0000,0.0114,0.0893,0.0000,0.7418,,SKIP,,1.935,
airfoil1_dual.mtx,117863,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,8034,8034,23626,1005,15261,122088,false,0,54148,2.29188,0.0090,0.0074,0.2067,0.0000,0.0125,0.0943,0.0000,1.7990,,SKIP,,2.117,
airfoil1_dual.mtx,117863,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp4,bfp4,false,0,false,0,0,ok,none,8034,8034,23626,1005,15261,122088,false,0,42335,1.79188,0.0092,0.0086,0.1753,0.0000,0.0112,0.0866,0.0000,0.7240,,SKIP,,1.780,
airfoil1_dual.mtx,117863,hybrid_lb,hybrid_lb,structural_hybrid,promoted,csr_bitbsr_fused_lb,exact_abs_or_rel,csr_bitbsr_fused_lb,csr_bitbsr_fused_lb,original,raw_double,false,,,,,ok,none,8034,8034,23626,1005,15261,,1,0,189008,8,0.0060,0.0046,,,0.0000,0.0000,,,0.0000,SKIP,,1.866,
airfoil1_dual.mtx,117863,cusparse_csr,cusparse_default,external_baseline,external_baseline,cusparse_csr,exact_abs_or_rel,cusparse_csr,cusparse_csr,original,original,false,,,,,ok,none,8034,8034,23626,0,0,126644,true,0,189008,8,0.0166,0.0123,0.0000,,0.0000,0.0000,,0.0000,0.1506,SKIP,,2.111,
cage_G_05.mtx,861,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,58,58,174,8,81,648,true,0,1392,8,0.0071,0.0056,0.2052,0.0000,0.0134,0.1005,0.0000,0.0000,,SKIP,,1.940,
