matrix,matrix_bytes,operator_name,requested_operator,operator_family,operator_promotion_status,operator_runner,verify_gate,layout,effective_layout,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_unique_overflow,value_codec_auto_raw_payload_bytes,value_codec_auto_candidate_payload_bytes,status,failure_class,rows,cols,nnz,work_items,gpu_num_blocks,position_payload_bytes,value_exact,value_codebook_size,value_payload_bytes,value_bytes_per_nnz,avg_ms,min_ms,gpu_convert_event_ms,value_codec_auto_select_event_ms,col_bitmap_pack_event_ms,load_balance_pack_event_ms,value_codec_auto_select_host_ms,value_pack_host_ms,cusparse_preprocess_event_ms,verify_cpu,spmv_output_rel_err,elapsed_s,error
big_dual.mtx,509140,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,30269,30269,89858,3784,62605,500840,true,0,718864,8,0.0089,0.0078,0.7934,0.0000,0.0141,0.1009,0.0000,0.0000,,SKIP,,3.151,
big_dual.mtx,509140,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,718864,0,ok,none,30269,30269,89858,3784,62605,500840,true,0,0,0,0.0099,0.0077,5.3786,0.2681,0.0242,0.0961,0.2911,1.4690,,SKIP,,2.154,
big_dual.mtx,509140,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,30269,30269,89858,3784,62605,500840,false,0,179716,2,0.0097,0.0078,1.1691,0.0000,0.0134,0.0967,0.0000,2.0447,,SKIP,,2.034,
big_dual.mtx,509140,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,30269,30269,89858,3784,62605,500840,false,0,179716,2,0.0093,0.0072,0.9366,0.0000,0.0131,0.0951,0.0000,1.9199,,SKIP,,1.799,
big_dual.mtx,509140,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,30269,30269,89858,3784,62605,500840,false,0,215068,2.39342,0.0088,0.0070,1.2179,0.0000,0.0134,0.0975,0.0000,3.0845,,SKIP,,2.206,
big_dual.mtx,509140,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,30269,30269,89858,3784,62605,500840,false,0,215068,2.39342,0.0088,0.0073,1.7958,0.0000,0.0162,0.1028,0.0000,6.0800,,SKIP,,2.074,
big_dual.mtx,509140,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp4,bfp4,false,0,false,0,0,ok,none,30269,30269,89858,3784,62605,500840,false,0,170139,1.89342,0.0096,0.0086,1.0065,0.0000,0.0129,0.0985,0.0000,2.6066,,SKIP,,2.080,
big_dual.mtx,509140,hybrid_lb,hybrid_lb,structural_hybrid,promoted,csr_bitbsr_fused_lb,exact_abs_or_rel,csr_bitbsr_fused_lb,csr_bitbsr_fused_lb,original,raw_double,false,,,,,ok,none,30269,30269,89858,3784,62605,,1,0,718864,8,0.0061,0.0047,,,0.0000,0.0000,,,0.0000,SKIP,,1.944,
big_dual.mtx,509140,cusparse_csr,cusparse_default,external_baseline,external_baseline,cusparse_csr,exact_abs_or_rel,cusparse_csr,cusparse_csr,original,original,false,,,,,ok,none,30269,30269,89858,0,0,480512,true,0,718864,8,0.0152,0.0123,0.0000,,0.0000,0.0000,,0.0000,0.1342,SKIP,,2.297,
cage_G_06.mtx,861,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,58,58,174,8,76,608,true,0,1392,8,0.0068,0.0050,0.1787,0.0000,0.0143,0.0920,0.0000,0.0000,,SKIP,,1.965,
