matrix,requested_operator,operator_name,operator_family,status,failure_class,claim_status,avg_ms,min_ms,speedup_vs_cusparse,speedup_vs_original_lb,speedup_vs_original_nolb,value_payload_bytes,position_payload_bytes,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_candidate_payload_bytes,value_codec_exact,value_codebook_size,verify_gate,verify_cpu
130bit.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0100,0.0088,1.380000,1.000000,,48960,26448,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
130bit.mtx,auto_lossless_lb,all_one_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_win,0.0093,0.0079,1.483871,1.075269,,0,26448,auto_lossless,all_one,true,1,0,true,0,exact_abs_or_rel,SKIP
130bit.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0099,0.0091,1.393939,1.010101,,12240,26448,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
130bit.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0101,0.0093,1.366337,0.990099,,12240,26448,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
130bit.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0097,0.0087,1.422680,1.030928,,12732,26448,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
130bit.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0096,0.0087,1.437500,1.041667,,12732,26448,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
130bit.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0131,0.0118,1.053435,0.763359,,9672,26448,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
130bit.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0074,0.0063,1.864865,1.351351,,48960,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
130bit.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0138,0.0123,1.000000,0.724638,,48960,26820,original,original,false,,,true,0,exact_abs_or_rel,SKIP
Alemdar.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0092,0.0076,2.043478,1.000000,,340648,247552,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
Alemdar.mtx,auto_lossless_lb,dict2_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0096,0.0083,1.958333,0.958333,,123792,247552,auto_lossless,dict2,true,2,123792,true,2,exact_abs_or_rel,SKIP
Alemdar.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0092,0.0083,2.043478,1.000000,,85162,247552,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
Alemdar.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0092,0.0087,2.043478,1.000000,,85162,247552,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
Alemdar.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0102,0.0090,1.843137,0.901961,,104469,247552,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
Alemdar.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0105,0.0089,1.790476,0.876190,,104469,247552,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
Alemdar.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0154,0.0136,1.220779,0.597403,,83179,247552,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
Alemdar.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0067,0.0046,2.805970,1.373134,,340648,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
Alemdar.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0188,0.0144,1.000000,0.489362,,340648,195308,original,original,false,,,true,0,exact_abs_or_rel,SKIP
CAG_mat364.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0089,0.0074,1.438202,1.000000,,108680,26640,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
CAG_mat364.mtx,auto_lossless_lb,dict256_u8_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0120,0.0102,1.066667,0.741667,,106792,26640,auto_lossless,dict256_u8,true,29,106792,true,29,exact_abs_or_rel,SKIP
CAG_mat364.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0091,0.0081,1.406593,0.978022,,27170,26640,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
CAG_mat364.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0089,0.0085,1.438202,1.000000,,27170,26640,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
CAG_mat364.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0097,0.0085,1.319588,0.917526,,20245,26640,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
CAG_mat364.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0123,0.0104,1.040650,0.723577,,21317,26640,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
CAG_mat364.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0134,0.0131,0.955224,0.664179,,13453,26640,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
CAG_mat364.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0099,0.0085,1.292929,0.898990,,108680,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
CAG_mat364.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0128,0.0102,1.000000,0.695312,,108680,55800,original,original,false,,,true,0,exact_abs_or_rel,SKIP
Chebyshev1.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0091,0.0075,1.351648,1.000000,,18552,1544,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
Chebyshev1.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0091,0.0085,1.351648,1.000000,,18552,1544,auto_lossless,original,true,1798,18552,true,0,exact_abs_or_rel,SKIP
Chebyshev1.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0099,0.0091,1.242424,0.919192,,4638,1544,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
Chebyshev1.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0099,0.0091,1.242424,0.919192,,4638,1544,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
Chebyshev1.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0095,0.0085,1.294737,0.957895,,2705,1544,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
Chebyshev1.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0120,0.0102,1.025000,0.758333,,2881,1544,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
Chebyshev1.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0135,0.0126,0.911111,0.674074,,1546,1544,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
Chebyshev1.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0106,0.0090,1.160377,0.858491,,18552,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
Chebyshev1.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0123,0.0102,1.000000,0.739837,,18552,10324,original,original,false,,,true,0,exact_abs_or_rel,SKIP
D_5.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0074,0.0064,1.689189,1.000000,,14656,7552,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
D_5.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0076,0.0069,1.644737,0.973684,,14656,7552,auto_lossless,original,true,12,14656,true,0,exact_abs_or_rel,SKIP
D_5.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0073,0.0059,1.712329,1.013699,,3664,7552,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
D_5.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0076,0.0066,1.644737,0.973684,,3664,7552,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
D_5.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0075,0.0056,1.666667,0.986667,,3720,7552,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
D_5.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0095,0.0085,1.315789,0.778947,,3864,7552,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
D_5.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0090,0.0075,1.388889,0.822222,,2804,7552,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
D_5.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0063,0.0045,1.984127,1.174603,,14656,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
D_5.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0125,0.0102,1.000000,0.592000,,14656,9068,original,original,false,,,true,0,exact_abs_or_rel,SKIP
EVA.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0083,0.0066,1.927711,1.000000,,53808,25664,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
EVA.mtx,auto_lossless_lb,all_one_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0092,0.0081,1.739130,0.902174,,0,25664,auto_lossless,all_one,true,1,0,true,0,exact_abs_or_rel,SKIP
EVA.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0097,0.0084,1.649485,0.855670,,13452,25664,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
EVA.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0094,0.0075,1.702128,0.882979,,13452,25664,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
EVA.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0094,0.0084,1.702128,0.882979,,13142,25664,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
EVA.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0097,0.0084,1.649485,0.855670,,13142,25664,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
EVA.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0143,0.0132,1.118881,0.580420,,9779,25664,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
EVA.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0108,0.0086,1.481481,0.768519,,53808,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
EVA.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0160,0.0123,1.000000,0.518750,,53808,60896,original,original,false,,,true,0,exact_abs_or_rel,SKIP
EX3.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0094,0.0086,1.478723,1.000000,,574080,170128,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
EX3.mtx,auto_lossless_lb,all_one_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0134,0.0124,1.037313,0.701493,,0,170128,auto_lossless,all_one,true,1,0,true,0,exact_abs_or_rel,SKIP
EX3.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0098,0.0086,1.418367,0.959184,,143520,170128,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
EX3.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0098,0.0089,1.418367,0.959184,,143520,170128,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
EX3.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0093,0.0085,1.494624,1.010753,,114292,170128,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
EX3.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0089,0.0084,1.561798,1.056180,,114292,170128,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
EX3.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0132,0.0126,1.053030,0.712121,,78412,170128,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
EX3.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0079,0.0064,1.759494,1.189873,,574080,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
EX3.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0139,0.0102,1.000000,0.676259,,574080,297444,original,original,false,,,true,0,exact_abs_or_rel,SKIP
Ecoli_10NN.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0087,0.0063,1.471264,1.000000,,36480,11384,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
Ecoli_10NN.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0099,0.0080,1.292929,0.878788,,36480,11384,auto_lossless,original,true,1977,36480,true,0,exact_abs_or_rel,SKIP
Ecoli_10NN.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0106,0.0096,1.207547,0.820755,,9120,11384,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
Ecoli_10NN.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0099,0.0090,1.292929,0.878788,,9120,11384,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
Ecoli_10NN.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0089,0.0076,1.438202,0.977528,,7406,11384,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
Ecoli_10NN.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0118,0.0100,1.084746,0.737288,,7758,11384,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
Ecoli_10NN.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0136,0.0129,0.941176,0.639706,,5126,11384,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
Ecoli_10NN.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0077,0.0060,1.662338,1.129870,,36480,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
Ecoli_10NN.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0128,0.0102,1.000000,0.679687,,36480,19588,original,original,false,,,true,0,exact_abs_or_rel,SKIP
FA.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0098,0.0084,1.938776,1.000000,,577408,528440,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
FA.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0094,0.0086,2.021277,1.042553,,577408,528440,auto_lossless,original,true,778,577408,true,0,exact_abs_or_rel,SKIP
FA.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0102,0.0085,1.862745,0.960784,,144352,528440,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
FA.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0095,0.0084,2.000000,1.031579,,144352,528440,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
FA.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0114,0.0102,1.666667,0.859649,,204286,528440,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
