matrix,matrix_bytes,operator_name,requested_operator,operator_family,operator_promotion_status,operator_runner,verify_gate,layout,effective_layout,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_unique_overflow,value_codec_auto_raw_payload_bytes,value_codec_auto_candidate_payload_bytes,status,failure_class,rows,cols,nnz,work_items,gpu_num_blocks,position_payload_bytes,value_exact,value_codebook_size,value_payload_bytes,value_bytes_per_nnz,avg_ms,min_ms,gpu_convert_event_ms,value_codec_auto_select_event_ms,col_bitmap_pack_event_ms,load_balance_pack_event_ms,value_codec_auto_select_host_ms,value_pack_host_ms,cusparse_preprocess_event_ms,verify_cpu,spmv_output_rel_err,elapsed_s,error
airfoil1.mtx,119484,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,4253,4253,24578,544,12397,99176,true,0,196624,8,0.0092,0.0073,0.2107,0.0000,0.0130,0.0995,0.0000,0.0000,,SKIP,,3.312,
airfoil1.mtx,119484,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,196624,0,ok,none,4253,4253,24578,544,12397,99176,true,0,0,0,0.0090,0.0068,0.1977,0.2442,0.0128,0.0910,0.2669,0.3874,,SKIP,,2.225,
airfoil1.mtx,119484,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,4253,4253,24578,544,12397,99176,false,0,49156,2,0.0097,0.0079,0.1952,0.0000,0.0118,0.0927,0.0000,0.5332,,SKIP,,2.011,
airfoil1.mtx,119484,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,4253,4253,24578,544,12397,99176,false,0,49156,2,0.0105,0.0081,0.2534,0.0000,0.0129,0.0954,0.0000,0.6537,,SKIP,,2.054,
airfoil1.mtx,119484,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,4253,4253,24578,544,12397,99176,false,0,49372,2.00879,0.0107,0.0097,0.2370,0.0000,0.0148,0.1101,0.0000,0.9455,,SKIP,,2.263,
airfoil1.mtx,119484,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,4253,4253,24578,544,12397,99176,false,0,49372,2.00879,0.0100,0.0092,0.2030,0.0000,0.0125,0.1028,0.0000,1.7117,,SKIP,,2.062,
airfoil1.mtx,119484,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp4,bfp4,false,0,false,0,0,ok,none,4253,4253,24578,544,12397,99176,false,0,37083,1.50879,0.0132,0.0110,0.1979,0.0000,0.0136,0.0915,0.0000,0.7366,,SKIP,,2.354,
airfoil1.mtx,119484,hybrid_lb,hybrid_lb,structural_hybrid,promoted,csr_bitbsr_fused_lb,exact_abs_or_rel,csr_bitbsr_fused_lb,csr_bitbsr_fused_lb,original,raw_double,false,,,,,ok,none,4253,4253,24578,532,12397,,1,0,196624,8,0.0071,0.0060,,,0.0000,0.0000,,,0.0000,SKIP,,1.746,
airfoil1.mtx,119484,cusparse_csr,cusparse_default,external_baseline,external_baseline,cusparse_csr,exact_abs_or_rel,cusparse_csr,cusparse_csr,original,original,false,,,,,ok,none,4253,4253,24578,0,0,115328,true,0,196624,8,0.0141,0.0123,0.0000,,0.0000,0.0000,,0.0000,0.1405,SKIP,,2.103,
cage_G_04.mtx,609,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,30,30,90,4,18,144,true,0,720,8,0.0068,0.0058,0.1972,0.0000,0.0135,0.0996,0.0000,0.0000,,SKIP,,2.249,
cage_G_04.mtx,609,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,720,0,ok,none,30,30,90,4,18,144,true,0,0,0,0.0055,0.0046,0.1762,0.1384,0.0117,0.0891,0.1606,0.0462,,SKIP,,2.056,
cage_G_04.mtx,609,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,30,30,90,4,18,144,false,0,180,2,0.0061,0.0046,0.1686,0.0000,0.0124,0.0845,0.0000,0.0534,,SKIP,,1.970,
cage_G_04.mtx,609,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,30,30,90,4,18,144,false,0,180,2,0.0061,0.0052,0.1640,0.0000,0.0132,0.0820,0.0000,0.0536,,SKIP,,2.246,
cage_G_04.mtx,609,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,30,30,90,4,18,144,false,0,126,1.4,0.0055,0.0051,0.1745,0.0000,0.0102,0.0850,0.0000,0.0641,,SKIP,,2.014,
cage_G_04.mtx,609,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,30,30,90,4,18,144,false,0,126,1.4,0.0055,0.0051,0.1655,0.0000,0.0121,0.0833,0.0000,0.0719,,SKIP,,2.307,
