matrix,requested_operator,operator_name,operator_family,status,failure_class,claim_status,avg_ms,min_ms,speedup_vs_cusparse,speedup_vs_original_lb,speedup_vs_original_nolb,value_payload_bytes,position_payload_bytes,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_candidate_payload_bytes,value_codec_exact,value_codebook_size,verify_gate,verify_cpu
145bit.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0086,0.0070,1.558140,1.000000,,90520,50048,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
145bit.mtx,auto_lossless_lb,all_one_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0086,0.0071,1.558140,1.000000,,0,50048,auto_lossless,all_one,true,1,0,true,0,exact_abs_or_rel,SKIP
145bit.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0095,0.0082,1.410526,0.905263,,22630,50048,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
145bit.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0096,0.0083,1.395833,0.895833,,22630,50048,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
145bit.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0088,0.0071,1.522727,0.977273,,23827,50048,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
145bit.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0086,0.0080,1.558140,1.000000,,23827,50048,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
145bit.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0139,0.0129,0.964029,0.618705,,18170,50048,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
145bit.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0075,0.0065,1.786667,1.146667,,90520,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
145bit.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0134,0.0102,1.000000,0.641791,,90520,49272,original,original,false,,,true,0,exact_abs_or_rel,SKIP
CAG_mat72.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0073,0.0060,1.534247,1.000000,,8096,1008,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
CAG_mat72.mtx,auto_lossless_lb,dict16_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0077,0.0072,1.454545,0.948052,,2128,1008,auto_lossless,dict16,true,14,2128,true,14,exact_abs_or_rel,SKIP
CAG_mat72.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0076,0.0064,1.473684,0.960526,,2024,1008,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
CAG_mat72.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0080,0.0071,1.400000,0.912500,,2024,1008,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
CAG_mat72.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0078,0.0070,1.435897,0.935897,,1264,1008,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
CAG_mat72.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0095,0.0081,1.178947,0.768421,,1328,1008,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
CAG_mat72.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0086,0.0074,1.302326,0.848837,,758,1008,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
CAG_mat72.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0079,0.0065,1.417722,0.924051,,8096,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
CAG_mat72.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0112,0.0082,1.000000,0.651786,,8096,4340,original,original,false,,,true,0,exact_abs_or_rel,SKIP
Chebyshev2.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0079,0.0067,1.835443,1.000000,,147576,12296,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
Chebyshev2.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0087,0.0066,1.666667,0.908046,,147576,12296,auto_lossless,original,true,14342,147576,true,0,exact_abs_or_rel,SKIP
Chebyshev2.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0088,0.0070,1.647727,0.897727,,36894,12296,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
Chebyshev2.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0089,0.0072,1.629213,0.887640,,36894,12296,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
Chebyshev2.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0093,0.0088,1.559140,0.849462,,21521,12296,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
Chebyshev2.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0117,0.0097,1.239316,0.675214,,22993,12296,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
Chebyshev2.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0134,0.0129,1.082090,0.589552,,12298,12296,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
Chebyshev2.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0104,0.0084,1.394231,0.759615,,147576,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
Chebyshev2.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0145,0.0123,1.000000,0.544828,,147576,82004,original,original,false,,,true,0,exact_abs_or_rel,SKIP
DK01R.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0064,0.0043,2.203125,1.000000,,94128,8944,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
DK01R.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0060,0.0046,2.350000,1.066667,,94128,8944,auto_lossless,original,true,9930,94128,true,0,exact_abs_or_rel,SKIP
DK01R.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0068,0.0055,2.073529,0.941176,,23532,8944,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
DK01R.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0069,0.0051,2.043478,0.927536,,23532,8944,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
DK01R.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0080,0.0071,1.762500,0.800000,,14002,8944,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
DK01R.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0089,0.0074,1.584270,0.719101,,14930,8944,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
DK01R.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0075,0.0062,1.880000,0.853333,,8119,8944,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
DK01R.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0079,0.0064,1.784810,0.810127,,94128,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
DK01R.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0141,0.0102,1.000000,0.453901,,94128,50680,original,original,false,,,true,0,exact_abs_or_rel,SKIP
D_6.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0086,0.0071,1.616279,1.000000,,51928,33072,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
D_6.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0086,0.0068,1.616279,1.000000,,51928,33072,auto_lossless,original,true,21,51928,true,0,exact_abs_or_rel,SKIP
D_6.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0088,0.0077,1.579545,0.977273,,12982,33072,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
D_6.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0094,0.0086,1.478723,0.914894,,12982,33072,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
D_6.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0104,0.0098,1.336538,0.826923,,14759,33072,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
D_6.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0119,0.0105,1.168067,0.722689,,14935,33072,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
D_6.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0139,0.0135,1.000000,0.618705,,11514,33072,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
D_6.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0071,0.0050,1.957746,1.211268,,51928,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
D_6.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0139,0.0123,1.000000,0.618705,,51928,29848,original,original,false,,,true,0,exact_abs_or_rel,SKIP
EX4.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0093,0.0077,1.494624,1.000000,,574080,171136,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
EX4.mtx,auto_lossless_lb,all_one_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0106,0.0093,1.311321,0.877358,,0,171136,auto_lossless,all_one,true,1,0,true,0,exact_abs_or_rel,SKIP
EX4.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0095,0.0084,1.463158,0.978947,,143520,171136,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
EX4.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0102,0.0090,1.362745,0.911765,,143520,171136,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
EX4.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0093,0.0083,1.494624,1.000000,,114544,171136,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
